Original File Name:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Bandit\data/B-AAXXX-Admin_RA-run_1-2014_Aug_21_0940.csv,Time:,2014_Aug_21_0940,Parameter File:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Bandit\T1000_B_Schedule1.csv,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('BLOCK_ONSET', 3), ('TRIAL_ONSET', 4), ('SELECTION', 5), ('BLOCK_RESULT_ONSET', 6), ('BLOCK_RESULT_OFFSET', 7), ('FINAL_RESULT_ONSET', 8), ('FINAL_RESULT_OFFSET', 9)]
trial_number,trial_type,event_code,absolute_time,response_time,response,result
NA,NA,1,-0.00422538060275,NA,NA,NA
NA,NA,2,35.8548403606,35.8590657412,NA,NA
0,0.5586-0.5424-0.6091,3,35.8885105027,NA,NA,NA
0,0.5586-0.5424-0.6091,4,35.9052305355,NA,NA,NA
0,0.5586-0.5424-0.6091,5,37.562925169,1.65769463346,1,0
1,0.5586-0.5424-0.6091,4,37.8586259315,NA,NA,NA
1,0.5586-0.5424-0.6091,5,38.1782127404,0.319586808833,2,1
2,0.5586-0.5424-0.6091,4,38.4929414283,NA,NA,NA
2,0.5586-0.5424-0.6091,5,38.7620471149,0.269105686653,3,0
3,0.5586-0.5424-0.6091,4,39.0772040245,NA,NA,NA
3,0.5586-0.5424-0.6091,5,39.2744993284,0.197295303902,2,0
4,0.5586-0.5424-0.6091,4,39.5781019501,NA,NA,NA
4,0.5586-0.5424-0.6091,5,39.8020641754,0.223962225259,2,1
5,0.5586-0.5424-0.6091,4,40.1123102204,NA,NA,NA
5,0.5586-0.5424-0.6091,5,40.2660922704,0.153782049984,3,0
6,0.5586-0.5424-0.6091,4,40.5630329371,NA,NA,NA
6,0.5586-0.5424-0.6091,5,40.7870593101,0.224026372982,2,1
7,0.5586-0.5424-0.6091,4,41.0972777003,NA,NA,NA
7,0.5586-0.5424-0.6091,5,41.2824077449,0.185130044541,2,0
8,0.5586-0.5424-0.6091,4,41.581443904,NA,NA,NA
8,0.5586-0.5424-0.6091,5,41.7380504495,0.156606545519,2,1
9,0.5586-0.5424-0.6091,4,42.0654863737,NA,NA,NA
9,0.5586-0.5424-0.6091,5,42.1958624875,0.130376113782,2,1
10,0.5586-0.5424-0.6091,4,42.5164066655,NA,NA,NA
10,0.5586-0.5424-0.6091,5,42.6422662093,0.125859543856,2,1
11,0.5586-0.5424-0.6091,4,42.9670010868,NA,NA,NA
11,0.5586-0.5424-0.6091,5,43.138912994,0.171911907215,2,1
12,0.5586-0.5424-0.6091,4,43.4844143427,NA,NA,NA
12,0.5586-0.5424-0.6091,5,43.5707494806,0.0863351379276,2,1
13,0.5586-0.5424-0.6091,4,43.8852101736,NA,NA,NA
13,0.5586-0.5424-0.6091,5,44.114350118,0.229139944388,2,0
14,0.5586-0.5424-0.6091,4,44.4195259269,NA,NA,NA
14,0.5586-0.5424-0.6091,5,44.6109606948,0.191434767895,2,0
15,0.5586-0.5424-0.6091,4,44.9203768109,NA,NA,NA
15,0.5586-0.5424-0.6091,5,45.2102250202,0.289848209381,2,0
16,0.5586-0.5424-0.6091,6,45.4880011983,9.59949069559,NA,8
