Original File Name:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Bandit\data/B-AAXXX-Admin_RA-run_1-2014_Sep_04_1117.csv,Time:,2014_Sep_04_1117,Parameter File:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Bandit\T1000_B_Schedule1.csv,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('BLOCK_ONSET', 3), ('TRIAL_ONSET', 4), ('SELECTION', 5), ('BLOCK_RESULT_ONSET', 6), ('BLOCK_RESULT_OFFSET', 7), ('FINAL_RESULT_ONSET', 8), ('FINAL_RESULT_OFFSET', 9)]
trial_number,trial_type,event_code,absolute_time,response_time,response,result
NA,NA,1,9.69343818724e-06,NA,NA,NA
NA,NA,2,3.99478521768,3.99477552425,NA,NA
0,0.1321-0.671-0.7165,3,4.02310002281,NA,NA,NA
0,0.1321-0.671-0.7165,4,4.03967807535,NA,NA,NA
0,0.1321-0.671-0.7165,5,4.54325937142,0.50358129607,1,0
1,0.1321-0.671-0.7165,4,4.8579367412,NA,NA,NA
1,0.1321-0.671-0.7165,5,4.97831122705,0.12037448585,2,0
2,0.1321-0.671-0.7165,4,5.30855140474,NA,NA,NA
2,0.1321-0.671-0.7165,5,5.35429928021,0.0457478754688,3,1
3,0.1321-0.671-0.7165,4,5.65907708812,NA,NA,NA
3,0.1321-0.671-0.7165,5,6.1581401038,0.499063015683,3,1
4,0.1321-0.671-0.7165,4,6.49382200406,NA,NA,NA
4,0.1321-0.671-0.7165,5,6.59235034126,0.0985283371992,2,0
5,0.1321-0.671-0.7165,4,6.91125946504,NA,NA,NA
5,0.1321-0.671-0.7165,5,6.9742719162,0.0630124511663,1,0
6,0.1321-0.671-0.7165,4,7.2952779578,NA,NA,NA
