Original File Name:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Bandit\data/B-AAXXX-Admin_RA-run_1-2014_Sep_16_1351.csv,Time:,2014_Sep_16_1351,Parameter File:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Bandit\T1000_B_Schedule1.csv,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('BLOCK_ONSET', 3), ('TRIAL_ONSET', 4), ('SELECTION', 5), ('BLOCK_RESULT_ONSET', 6), ('BLOCK_RESULT_OFFSET', 7), ('FINAL_RESULT_ONSET', 8), ('FINAL_RESULT_OFFSET', 9), ('TASK_END', 99)]
trial_number,trial_type,event_code,absolute_time,response_time,response,result
0,0.697-0.251-0.3832,3,8.64537723135,NA,NA,NA
0,0.697-0.251-0.3832,4,8.66219106241,NA,NA,NA
0,0.697-0.251-0.3832,5,9.94935732678,1.28716626437,1,0
1,0.697-0.251-0.3832,4,10.2650510815,NA,NA,NA
1,0.697-0.251-0.3832,5,10.4603811843,0.195330102753,2,1
2,0.697-0.251-0.3832,4,10.7992989809,NA,NA,NA
2,0.697-0.251-0.3832,5,10.8927947153,0.0934957344434,3,0
3,0.697-0.251-0.3832,4,11.2166560433,NA,NA,NA
3,0.697-0.251-0.3832,5,11.3566879575,0.140031914227,1,1
4,0.697-0.251-0.3832,4,11.667254456,NA,NA,NA
4,0.697-0.251-0.3832,5,11.7566994756,0.0894450195483,2,0
5,0.697-0.251-0.3832,4,12.0678969026,NA,NA,NA
5,0.697-0.251-0.3832,5,12.2123903623,0.144493459666,2,0
6,0.697-0.251-0.3832,4,12.5355238274,NA,NA,NA
6,0.697-0.251-0.3832,5,12.5919601392,0.0564363117446,1,1
7,0.697-0.251-0.3832,4,12.9194137397,NA,NA,NA
7,0.697-0.251-0.3832,5,13.0364536843,0.117039944627,1,0
8,0.697-0.251-0.3832,4,13.3534360956,NA,NA,NA
NA,NA,99,13.4491467797,NA,NA,NA
