Original File Name:,T:\BehavioralTasks\StimTool\Bandit\data/B-AAXXX-Admin_RA-run_T1000_BAN_T0_R1.schedule-2014_Oct_06_0840.csv,Time:,2014_Oct_06_0840,Parameter File:,T:\BehavioralTasks\StimTool\Bandit\T1000_BAN_T0_R1.schedule,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('BLOCK_ONSET', 3), ('TRIAL_ONSET', 4), ('SELECTION', 5), ('BLOCK_RESULT_ONSET', 6), ('BLOCK_RESULT_OFFSET', 7), ('FINAL_RESULT_ONSET', 8), ('FINAL_RESULT_OFFSET', 9), ('TASK_END', 99)]
trial_number,trial_type,event_code,absolute_time,response_time,response,result
0,0.5003-0.4056-0.3771,3,7.7159158776,NA,NA,NA
0,0.5003-0.4056-0.3771,4,7.73753087426,NA,NA,NA
0,0.5003-0.4056-0.3771,5,9.13020435206,1.39267347779,1,1
1,0.5003-0.4056-0.3771,4,9.46172326777,NA,NA,NA
1,0.5003-0.4056-0.3771,5,9.72616849191,0.264445224137,2,1
2,0.5003-0.4056-0.3771,4,10.0735731855,NA,NA,NA
2,0.5003-0.4056-0.3771,5,10.1968615598,0.123288374365,3,0
3,0.5003-0.4056-0.3771,4,10.5335384956,NA,NA,NA
3,0.5003-0.4056-0.3771,5,10.7048181971,0.171279701492,1,1
4,0.5003-0.4056-0.3771,4,11.0511813145,NA,NA,NA
4,0.5003-0.4056-0.3771,5,11.1566969021,0.105515587551,2,0
5,0.5003-0.4056-0.3771,4,11.4780610919,NA,NA,NA
5,0.5003-0.4056-0.3771,5,12.1947201145,0.716659022582,1,0
6,0.5003-0.4056-0.3771,4,12.5317556076,NA,NA,NA
NA,NA,99,13.5567721331,NA,NA,NA
