Original File Name:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Bandit\data/B-RAYUS-Admin_RTK-run_1-2014_Sep_05_1510.csv,Time:,2014_Sep_05_1510,Parameter File:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Bandit\T1000_B_Schedule1.csv,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('BLOCK_ONSET', 3), ('TRIAL_ONSET', 4), ('SELECTION', 5), ('BLOCK_RESULT_ONSET', 6), ('BLOCK_RESULT_OFFSET', 7), ('FINAL_RESULT_ONSET', 8), ('FINAL_RESULT_OFFSET', 9)]
trial_number,trial_type,event_code,absolute_time,response_time,response,result
NA,NA,1,-0.00493813306093,NA,NA,NA
NA,NA,2,25.9689229527,25.9738610857,NA,NA
0,0.4937-0.8078-0.6343,3,26.0233917824,NA,NA,NA
0,0.4937-0.8078-0.6343,4,26.0399073978,NA,NA,NA
0,0.4937-0.8078-0.6343,5,27.2948033658,1.25489596801,1,1
1,0.4937-0.8078-0.6343,4,27.592501546,NA,NA,NA
1,0.4937-0.8078-0.6343,5,27.8273594759,0.23485792987,2,1
2,0.4937-0.8078-0.6343,4,28.1266701872,NA,NA,NA
2,0.4937-0.8078-0.6343,5,28.4437997106,0.317129523377,3,1
3,0.4937-0.8078-0.6343,4,28.7444649368,NA,NA,NA
3,0.4937-0.8078-0.6343,5,28.9952269404,0.25076200359,1,1
4,0.4937-0.8078-0.6343,4,29.2953376451,NA,NA,NA
4,0.4937-0.8078-0.6343,5,29.4195324843,0.124194839154,2,0
5,0.4937-0.8078-0.6343,4,29.7126431044,NA,NA,NA
5,0.4937-0.8078-0.6343,5,29.875505621,0.16286251659,3,1
6,0.4937-0.8078-0.6343,4,30.1801317552,NA,NA,NA
6,0.4937-0.8078-0.6343,5,30.4034168656,0.223285110435,1,0
7,0.4937-0.8078-0.6343,4,30.6977574113,NA,NA,NA
7,0.4937-0.8078-0.6343,5,30.8432376054,0.145480194129,3,1
8,0.4937-0.8078-0.6343,4,31.14844335,NA,NA,NA
8,0.4937-0.8078-0.6343,5,31.3555920293,0.207148679299,3,1
9,0.4937-0.8078-0.6343,4,31.6491873211,NA,NA,NA
9,0.4937-0.8078-0.6343,5,31.8042443427,0.15505702165,3,0
10,0.4937-0.8078-0.6343,4,32.1000246485,NA,NA,NA
10,0.4937-0.8078-0.6343,5,32.2685546876,0.16853003914,3,0
11,0.4937-0.8078-0.6343,4,32.5674263434,NA,NA,NA
11,0.4937-0.8078-0.6343,5,32.6914230374,0.12399669399,3,0
12,0.4937-0.8078-0.6343,4,32.9848538259,NA,NA,NA
