Original File Name:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Bandit\data/B-RTK-Admin_RA-run_1-2014_Aug_05_0848.csv,Time:,2014_Aug_05_0848,Parameter File:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Bandit\T1000_B_Schedule1.csv,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('BLOCK_ONSET', 3), ('TRIAL_ONSET', 4), ('SELECTION', 5), ('BLOCK_RESULT_ONSET', 6), ('BLOCK_RESULT_OFFSET', 7), ('FINAL_RESULT_ONSET', 8), ('FINAL_RESULT_OFFSET', 9)]
trial_number,trial_type,event_code,absolute_time,response_time,response,result
NA,NA,1,6.23261439614e-05,NA,NA,NA
NA,NA,2,78.1415679866,78.1415056605,NA,NA
0,0.5586-0.5424-0.6091,3,78.20037601,NA,NA,NA
0,0.5586-0.5424-0.6091,4,78.2248140939,NA,NA,NA
0,0.5586-0.5424-0.6091,5,81.2984517084,3.07363761449,1,1
1,0.5586-0.5424-0.6091,4,81.638050042,NA,NA,NA
1,0.5586-0.5424-0.6091,5,82.1635907489,0.525540706847,1,1
2,0.5586-0.5424-0.6091,4,82.5049470466,NA,NA,NA
2,0.5586-0.5424-0.6091,5,82.7863782163,0.281431169744,1,0
3,0.5586-0.5424-0.6091,4,83.1205728726,NA,NA,NA
3,0.5586-0.5424-0.6091,5,83.7126434464,0.592070573737,2,1
4,0.5586-0.5424-0.6091,4,84.0531638404,NA,NA,NA
4,0.5586-0.5424-0.6091,5,84.4781545007,0.424990660234,3,1
5,0.5586-0.5424-0.6091,4,84.8206975616,NA,NA,NA
5,0.5586-0.5424-0.6091,5,85.2277624875,0.407064925879,2,1
6,0.5586-0.5424-0.6091,4,85.571899998,NA,NA,NA
6,0.5586-0.5424-0.6091,5,85.7822060305,0.210306032415,3,1
7,0.5586-0.5424-0.6091,4,86.1184849466,NA,NA,NA
7,0.5586-0.5424-0.6091,5,86.2598615553,0.141376608706,2,1
8,0.5586-0.5424-0.6091,4,86.6017285608,NA,NA,NA
8,0.5586-0.5424-0.6091,5,86.7189541525,0.117225591704,2,0
9,0.5586-0.5424-0.6091,4,87.0516900103,NA,NA,NA
9,0.5586-0.5424-0.6091,5,87.1051262526,0.0534362423641,2,0
10,0.5586-0.5424-0.6091,4,87.4346453477,NA,NA,NA
10,0.5586-0.5424-0.6091,5,87.6908725551,0.256227207428,3,1
11,0.5586-0.5424-0.6091,4,88.0329976642,NA,NA,NA
11,0.5586-0.5424-0.6091,5,88.1267042994,0.0937066352053,3,0
12,0.5586-0.5424-0.6091,4,88.4614177293,NA,NA,NA
12,0.5586-0.5424-0.6091,5,89.2722428285,0.810825099252,1,1
13,0.5586-0.5424-0.6091,4,89.6160269132,NA,NA,NA
13,0.5586-0.5424-0.6091,5,89.988839586,0.372812672882,1,1
14,0.5586-0.5424-0.6091,4,90.3323626341,NA,NA,NA
14,0.5586-0.5424-0.6091,5,90.3776473491,0.04528471503,1,1
15,0.5586-0.5424-0.6091,4,90.7173641024,NA,NA,NA
15,0.5586-0.5424-0.6091,5,90.8030966565,0.0857325540856,1,0
16,0.5586-0.5424-0.6091,6,91.1139153398,12.9135393298,NA,11
16,0.5586-0.5424-0.6091,7,93.2313994017,2.11748406192,NA,NA
16,0.7749-0.4079-0.428,3,93.2683063822,NA,NA,NA
16,0.7749-0.4079-0.428,4,93.2886899666,NA,NA,NA
16,0.7749-0.4079-0.428,5,94.0218519153,0.733161948636,1,1
17,0.7749-0.4079-0.428,4,94.3625710197,NA,NA,NA
17,0.7749-0.4079-0.428,5,94.7306135423,0.368042522576,2,1
18,0.7749-0.4079-0.428,4,95.074744087,NA,NA,NA
18,0.7749-0.4079-0.428,5,95.3583174432,0.283573356224,3,0
19,0.7749-0.4079-0.428,4,95.6948302657,NA,NA,NA
19,0.7749-0.4079-0.428,5,96.0433280405,0.348497774772,1,1
20,0.7749-0.4079-0.428,4,96.3952042593,NA,NA,NA
20,0.7749-0.4079-0.428,5,96.5862698422,0.191065582883,2,0
21,0.7749-0.4079-0.428,4,96.9134619721,NA,NA,NA
21,0.7749-0.4079-0.428,5,97.2726541811,0.359192209085,1,1
22,0.7749-0.4079-0.428,4,97.6111398097,NA,NA,NA
22,0.7749-0.4079-0.428,5,97.8728619839,0.261722174211,1,1
23,0.7749-0.4079-0.428,4,98.2125296095,NA,NA,NA
23,0.7749-0.4079-0.428,5,98.4702328468,0.257703237323,1,1
24,0.7749-0.4079-0.428,4,98.8177762982,NA,NA,NA
24,0.7749-0.4079-0.428,5,99.1880511969,0.370274898654,1,1
25,0.7749-0.4079-0.428,4,99.5299830949,NA,NA,NA
25,0.7749-0.4079-0.428,5,99.8668508099,0.336867714956,1,1
26,0.7749-0.4079-0.428,4,100.209372607,NA,NA,NA
26,0.7749-0.4079-0.428,5,100.470256677,0.260884070798,1,0
27,0.7749-0.4079-0.428,4,100.803788477,NA,NA,NA
27,0.7749-0.4079-0.428,5,101.108781131,0.304992654681,1,1
28,0.7749-0.4079-0.428,4,101.459014873,NA,NA,NA
28,0.7749-0.4079-0.428,5,101.806432939,0.347418065867,1,1
29,0.7749-0.4079-0.428,4,102.142091893,NA,NA,NA
29,0.7749-0.4079-0.428,5,102.418002066,0.275910172626,1,0
30,0.7749-0.4079-0.428,4,102.74293029,NA,NA,NA
30,0.7749-0.4079-0.428,5,103.0164915,0.273561209964,1,1
31,0.7749-0.4079-0.428,4,103.357466875,NA,NA,NA
31,0.7749-0.4079-0.428,5,103.711627163,0.354160288931,1,1
32,0.7749-0.4079-0.428,6,104.030900573,10.7625941904,NA,12
32,0.7749-0.4079-0.428,7,105.415555214,1.38465464163,NA,NA
32,0.7886-0.6485-0.7971,3,105.461666667,NA,NA,NA
32,0.7886-0.6485-0.7971,4,105.491622082,NA,NA,NA
32,0.7886-0.6485-0.7971,5,106.369493989,0.877871906559,1,1
33,0.7886-0.6485-0.7971,4,106.71030035,NA,NA,NA
33,0.7886-0.6485-0.7971,5,107.045870947,0.335570597745,2,0
34,0.7886-0.6485-0.7971,4,107.370338691,NA,NA,NA
