Original File Name:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Bandit\data/B-b-Admin_RA-run_1-2014_Aug_20_1541.csv,Time:,2014_Aug_20_1541,Parameter File:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\Bandit\T1000_B_Schedule1.csv,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('BLOCK_ONSET', 3), ('TRIAL_ONSET', 4), ('SELECTION', 5), ('BLOCK_RESULT_ONSET', 6), ('BLOCK_RESULT_OFFSET', 7), ('FINAL_RESULT_ONSET', 8), ('FINAL_RESULT_OFFSET', 9)]
trial_number,trial_type,event_code,absolute_time,response_time,response,result
NA,NA,1,5.13179111294e-06,NA,NA,NA
NA,NA,2,1.35192024949,1.3519151177,NA,NA
0,0.697-0.251-0.3832,3,1.38541581432,NA,NA,NA
0,0.697-0.251-0.3832,4,1.40220792984,NA,NA,NA
0,0.697-0.251-0.3832,5,1.90042676646,0.498218836612,1,1
1,0.697-0.251-0.3832,4,2.23352413188,NA,NA,NA
1,0.697-0.251-0.3832,5,2.29182369748,0.0582995656005,2,0
2,0.697-0.251-0.3832,4,2.62304795469,NA,NA,NA
2,0.697-0.251-0.3832,5,2.93215471017,0.309106755478,1,0
3,0.697-0.251-0.3832,4,3.25060818996,NA,NA,NA
