"file","arousal","craving","related","typicality","valence","hue","saturation","value","category","group"
"control_objects_hands25.jpg",2.94117647058824,6.41176470588235,0,25.4117647058824,5.52941176470588,0.428,0.273,0.522,"1","control"
"control_objects_hands26.jpg",2.94117647058824,7.41176470588235,0,36.2941176470588,5.88235294117647,0.302,0.316,0.416,"1","control"
"control_objects_hands27.jpg",3.29411764705882,14.8235294117647,0,36.1176470588235,5.17647058823529,0.533,0.257,0.453,"1","control"
"control_objects_hands28.jpg",2.64705882352941,5.23529411764706,0,23.2941176470588,5,0.386,0.261,0.505,"1","control"
"control_objects_hands29.jpg",3.29411764705882,14.0588235294118,0,32.5294117647059,5.64705882352941,0.104,0.354,0.63,"1","control"
"control_objects_hands30.jpg",3.23529411764706,9.76470588235294,0,25.7058823529412,5.52941176470588,0.358,0.151,0.588,"1","control"
"control_objects_hands31.jpg",3.52941176470588,9.47058823529412,0,28.8823529411765,5,0.082,0.429,0.743,"1","control"
"control_objects_hands32.jpg",2.70588235294118,2.29411764705882,0,16.5882352941176,4.76470588235294,0.136,0.481,0.849,"1","control"
"control_objects_hands33.jpg",2.70588235294118,5.35294117647059,0,31.7647058823529,5.23529411764706,0.064,0.219,0.274,"1","control"
"control_objects_hands34.jpg",2.88235294117647,12.4117647058824,0,44.1764705882353,5.41176470588235,0.017,0.124,0.192,"1","control"
"control_objects_hands35.jpg",3,2.94117647058824,0,30,5.94117647058824,0.069,0.439,0.624,"1","control"
"control_objects_hands36.jpg",3,3.64705882352941,0,20.2352941176471,5.52941176470588,0.374,0.233,0.562,"1","control"
"control_objects01.jpg",3.23529411764706,3.70588235294118,0,19.7647058823529,5.52941176470588,0.194,0.057,0.873,"0","control"
"control_objects02.jpg",3.76470588235294,28.4117647058824,0.176470588235294,34.5882352941176,5.05882352941176,0.028,0.027,0.947,"0","control"
"control_objects03.jpg",3.17647058823529,16.4705882352941,0,22.0588235294118,5.70588235294118,0.393,0.09,0.611,"0","control"
"control_objects04.jpg",3.29411764705882,9.17647058823529,0,26.4117647058824,4.76470588235294,0.182,0.394,0.529,"0","control"
"control_objects05.jpg",3.17647058823529,31.1176470588235,0.294117647058824,38.9411764705882,5.47058823529412,0.252,0.129,0.171,"0","control"
"control_objects06.jpg",2.76470588235294,6,0.0588235294117647,32.7058823529412,5.52941176470588,0,0,0.544,"0","control"
"control_objects07.jpg",3.29411764705882,5.11764705882353,0.0588235294117647,15.8823529411765,5.52941176470588,0.036,0.084,0.906,"0","control"
"control_objects08.jpg",2.52941176470588,11.7647058823529,0.0588235294117647,29.8235294117647,5.11764705882353,0.04,0.041,0.893,"0","control"
"control_objects09.jpg",2.52941176470588,6.05882352941176,0,12.1764705882353,5.47058823529412,0.228,0.374,0.639,"0","control"
"control_objects10.jpg",2.94117647058824,10.0588235294118,0,18.2352941176471,5.47058823529412,0.254,0.168,0.57,"0","control"
"control_objects11.jpg",3.88235294117647,12.3529411764706,0.117647058823529,36.4705882352941,5.29411764705882,0.117,0.078,0.644,"0","control"
"control_objects12.jpg",3.11764705882353,7.52941176470588,0,16.2352941176471,5.17647058823529,0.049,0.003,0.984,"0","control"
"control_tools_faces61.jpg",3.29411764705882,6.47058823529412,0,19.2352941176471,5.58823529411765,0.393,0.305,0.591,"5","control"
"control_tools_faces62.jpg",3.17647058823529,9.29411764705882,0,22.7058823529412,5.76470588235294,0.197,0.412,0.263,"5","control"
"control_tools_faces63.jpg",2.88235294117647,9.35294117647059,0,44.0588235294118,5.375,0.356,0.127,0.528,"5","control"
"control_tools_faces64.jpg",3.17647058823529,8.17647058823529,0,27.0588235294118,5.58823529411765,0.088,0.522,0.621,"5","control"
"control_tools_faces65.jpg",3.29411764705882,3.35294117647059,0,36.4117647058824,6,0.264,0.206,0.818,"5","control"
"control_tools_faces66.jpg",3,5.41176470588235,0,24.0588235294118,6.05882352941176,0.254,0.559,0.512,"5","control"
"control_tools_faces67.jpg",2.70588235294118,2.47058823529412,0.0588235294117647,25.5882352941176,5.64705882352941,0.404,0.294,0.53,"5","control"
"control_tools_faces68.jpg",3.41176470588235,6.47058823529412,0,24.3529411764706,5.64705882352941,0.085,0.265,0.626,"5","control"
"control_tools_faces69.jpg",3.11764705882353,14.8235294117647,0,26.7647058823529,6,0.491,0.267,0.243,"5","control"
"control_tools_faces70.jpg",3,6.94117647058824,0,47.7647058823529,6.23529411764706,0.238,0.244,0.741,"5","control"
"control_tools_faces71.jpg",3.41176470588235,6.35294117647059,0,36.2352941176471,5.76470588235294,0.456,0.307,0.357,"5","control"
"control_tools_faces72.jpg",2.58823529411765,2.76470588235294,0,23.8235294117647,5.29411764705882,0.374,0.286,0.528,"5","control"
"control_tools_hands37.jpg",3.94117647058824,34.4705882352941,0.235294117647059,33.9411764705882,5.76470588235294,0.12,0.174,0.186,"3","control"
"control_tools_hands38.jpg",2.94117647058824,11.7647058823529,0.0588235294117647,30.3529411764706,5.05882352941176,0.379,0.123,0.258,"3","control"
"control_tools_hands39.jpg",3.11764705882353,2.64705882352941,0,24,5.52941176470588,0.494,0.278,0.779,"3","control"
"control_tools_hands40.jpg",3.41176470588235,7.05882352941176,0,27.6470588235294,5,0.065,0.109,0.139,"3","control"
"control_tools_hands41.jpg",3.76470588235294,12.3529411764706,0.0588235294117647,26.1176470588235,5.29411764705882,0.037,0.16,0.134,"3","control"
"control_tools_hands42.jpg",2.94117647058824,3.41176470588235,0,42.7647058823529,5.47058823529412,0.245,0.345,0.481,"3","control"
