file,hue,saturation,value
substance001.jpg, 0.220, 0.024, 0.882
substance002.jpg, 0.314, 0.022, 0.822
substance003.jpg, 0.195, 0.131, 0.387
substance004.jpg, 0.419, 0.085, 0.307
substance005.jpg, 0.504, 0.141, 0.145
substance006.jpg, 0.247, 0.152, 0.232
substance007.jpg, 0.438, 0.085, 0.678
substance008.jpg, 0.375, 0.161, 0.627
substance009.jpg, 0.458, 0.312, 0.548
substance010.jpg, 0.338, 0.094, 0.369
substance011.jpg, 0.391, 0.209, 0.559
substance012.jpg, 0.267, 0.235, 0.608
substance013.jpg, 0.587, 0.101, 0.869
substance014.jpg, 0.584, 0.148, 0.832
substance015.jpg, 0.148, 0.024, 0.283
substance016.jpg, 0.269, 0.152, 0.631
substance017.jpg, 0.228, 0.332, 0.462
substance018.jpg, 0.301, 0.078, 0.581
substance019.jpg, 0.278, 0.264, 0.069
substance020.jpg, 0.243, 0.022, 0.792
substance_activities_faces089.jpg, 0.371, 0.613, 0.128
substance_activities_faces090.jpg, 0.166, 0.468, 0.197
substance_activities_faces091.jpg, 0.165, 0.434, 0.304
substance_activities_faces092.jpg, 0.155, 0.568, 0.269
substance_activities_faces093.jpg, 0.132, 0.662, 0.301
substance_activities_faces094.jpg, 0.067, 0.433, 0.176
substance_activities_faces095.jpg, 0.099, 0.462, 0.538
substance_activities_faces096.jpg, 0.269, 0.396, 0.520
substance_activities_faces097.jpg, 0.110, 0.410, 0.176
substance_activities_faces098.jpg, 0.264, 0.543, 0.153
substance_activities_faces099.jpg, 0.096, 0.364, 0.206
substance_activities_faces100.jpg, 0.256, 0.449, 0.124
substance_activities_faces101.jpg, 0.160, 0.492, 0.176
substance_activities_faces102.jpg, 0.201, 0.469, 0.260
substance_activities_faces103.jpg, 0.209, 0.508, 0.238
substance_activities_faces104.jpg, 0.134, 0.579, 0.245
substance_activities_faces105.jpg, 0.139, 0.395, 0.553
substance_activities_faces106.jpg, 0.153, 0.264, 0.473
substance_activities_faces107.jpg, 0.490, 0.322, 0.207
substance_activities_faces108.jpg, 0.092, 0.609, 0.162
substance_hands021.jpg, 0.411, 0.302, 0.345
substance_hands022.jpg, 0.188, 0.164, 0.158
substance_hands023.jpg, 0.118, 0.283, 0.442
substance_hands024.jpg, 0.238, 0.393, 0.155
substance_hands025.jpg, 0.432, 0.372, 0.257
substance_hands026.jpg, 0.462, 0.368, 0.223
substance_hands027.jpg, 0.092, 0.511, 0.268
substance_hands028.jpg, 0.106, 0.439, 0.270
substance_hands029.jpg, 0.321, 0.304, 0.580
substance_hands030.jpg, 0.263, 0.277, 0.475
substance_hands031.jpg, 0.404, 0.392, 0.291
substance_hands032.jpg, 0.505, 0.290, 0.249
substance_injection_hands077.jpg, 0.622, 0.384, 0.468
substance_injection_hands078.jpg, 0.192, 0.282, 0.417
substance_injection_hands079.jpg, 0.484, 0.357, 0.402
substance_injection_hands080.jpg, 0.080, 0.355, 0.456
substance_injection_hands081.jpg, 0.344, 0.149, 0.467
substance_injection_hands082.jpg, 0.372, 0.126, 0.472
substance_injection_hands083.jpg, 0.157, 0.384, 0.459
substance_injection_hands084.jpg, 0.659, 0.232, 0.505
substance_injection_hands085.jpg, 0.113, 0.569, 0.168
substance_injection_hands086.jpg, 0.221, 0.442, 0.280
substance_injection_hands087.jpg, 0.411, 0.245, 0.395
substance_injection_hands088.jpg, 0.078, 0.422, 0.390
substance_injection_instruments109.jpg, 0.455, 0.123, 0.179
substance_injection_instruments110.jpg, 0.274, 0.331, 0.204
substance_injection_instruments111.jpg, 0.138, 0.067, 0.787
substance_injection_instruments112.jpg, 0.223, 0.278, 0.386
substance_injection_instruments113.jpg, 0.659, 0.116, 0.410
substance_injection_instruments114.jpg, 0.156, 0.419, 0.547
substance_injection_instruments115.jpg, 0.097, 0.630, 0.420
substance_injection_instruments116.jpg, 0.697, 0.023, 0.950
substance_injection_instruments117.jpg, 0.012, 0.009, 0.990
substance_injection_instruments118.jpg, 0.589, 0.242, 0.363
substance_injection_instruments119.jpg, 0.105, 0.056, 0.192
