file,hue_mean,hue_sd,saturation_mean, saturation_sd,value_mean, value_sd
substance001.jpg, 0.220, 0.299, 0.024, 0.015, 0.882, 0.093
substance002.jpg, 0.314, 0.373, 0.022, 0.062, 0.822, 0.081
substance003.jpg, 0.195, 0.245, 0.131, 0.127, 0.387, 0.333
substance004.jpg, 0.419, 0.324, 0.085, 0.088, 0.307, 0.255
substance005.jpg, 0.504, 0.199, 0.141, 0.080, 0.145, 0.129
substance006.jpg, 0.247, 0.363, 0.152, 0.309, 0.232, 0.294
substance007.jpg, 0.438, 0.311, 0.085, 0.154, 0.678, 0.218
substance008.jpg, 0.375, 0.296, 0.161, 0.186, 0.627, 0.260
substance009.jpg, 0.458, 0.257, 0.312, 0.206, 0.548, 0.220
substance010.jpg, 0.338, 0.199, 0.094, 0.107, 0.369, 0.229
substance011.jpg, 0.391, 0.332, 0.209, 0.123, 0.559, 0.198
substance012.jpg, 0.267, 0.318, 0.235, 0.133, 0.608, 0.224
substance013.jpg, 0.587, 0.022, 0.101, 0.076, 0.869, 0.105
substance014.jpg, 0.584, 0.006, 0.148, 0.054, 0.832, 0.057
substance015.jpg, 0.148, 0.261, 0.024, 0.070, 0.283, 0.383
substance016.jpg, 0.269, 0.276, 0.152, 0.099, 0.631, 0.195
substance017.jpg, 0.228, 0.255, 0.332, 0.227, 0.462, 0.251
substance018.jpg, 0.301, 0.301, 0.078, 0.049, 0.581, 0.209
substance019.jpg, 0.278, 0.352, 0.264, 0.390, 0.069, 0.177
substance020.jpg, 0.243, 0.310, 0.022, 0.016, 0.792, 0.146
substance_activities_faces089.jpg, 0.371, 0.343, 0.613, 0.354, 0.128, 0.199
substance_activities_faces090.jpg, 0.166, 0.311, 0.468, 0.369, 0.197, 0.249
substance_activities_faces091.jpg, 0.165, 0.243, 0.434, 0.245, 0.304, 0.199
substance_activities_faces092.jpg, 0.155, 0.243, 0.568, 0.264, 0.269, 0.160
substance_activities_faces093.jpg, 0.132, 0.274, 0.662, 0.338, 0.301, 0.313
substance_activities_faces094.jpg, 0.067, 0.183, 0.433, 0.388, 0.176, 0.251
substance_activities_faces095.jpg, 0.099, 0.139, 0.462, 0.263, 0.538, 0.293
substance_activities_faces096.jpg, 0.269, 0.306, 0.396, 0.228, 0.520, 0.299
substance_activities_faces097.jpg, 0.110, 0.210, 0.410, 0.381, 0.176, 0.211
substance_activities_faces098.jpg, 0.264, 0.333, 0.543, 0.386, 0.153, 0.228
substance_activities_faces099.jpg, 0.096, 0.201, 0.364, 0.342, 0.206, 0.223
substance_activities_faces100.jpg, 0.256, 0.400, 0.449, 0.382, 0.124, 0.158
substance_activities_faces101.jpg, 0.160, 0.321, 0.492, 0.385, 0.176, 0.222
substance_activities_faces102.jpg, 0.201, 0.290, 0.469, 0.334, 0.260, 0.265
substance_activities_faces103.jpg, 0.209, 0.313, 0.508, 0.352, 0.238, 0.267
substance_activities_faces104.jpg, 0.134, 0.295, 0.579, 0.408, 0.245, 0.285
substance_activities_faces105.jpg, 0.139, 0.227, 0.395, 0.290, 0.553, 0.318
substance_activities_faces106.jpg, 0.153, 0.236, 0.264, 0.185, 0.473, 0.230
substance_activities_faces107.jpg, 0.490, 0.313, 0.322, 0.231, 0.207, 0.203
substance_activities_faces108.jpg, 0.092, 0.151, 0.609, 0.242, 0.162, 0.143
substance_hands021.jpg, 0.411, 0.320, 0.302, 0.197, 0.345, 0.273
substance_hands022.jpg, 0.188, 0.355, 0.164, 0.274, 0.158, 0.236
substance_hands023.jpg, 0.118, 0.215, 0.283, 0.169, 0.442, 0.176
substance_hands024.jpg, 0.238, 0.329, 0.393, 0.390, 0.155, 0.251
substance_hands025.jpg, 0.432, 0.338, 0.372, 0.202, 0.257, 0.237
substance_hands026.jpg, 0.462, 0.357, 0.368, 0.169, 0.223, 0.226
substance_hands027.jpg, 0.092, 0.111, 0.511, 0.212, 0.268, 0.214
substance_hands028.jpg, 0.106, 0.161, 0.439, 0.234, 0.270, 0.227
substance_hands029.jpg, 0.321, 0.275, 0.304, 0.273, 0.580, 0.156
substance_hands030.jpg, 0.263, 0.221, 0.277, 0.200, 0.475, 0.285
substance_hands031.jpg, 0.404, 0.316, 0.392, 0.279, 0.291, 0.344
substance_hands032.jpg, 0.505, 0.275, 0.290, 0.288, 0.249, 0.193
substance_injection_hands077.jpg, 0.622, 0.077, 0.384, 0.267, 0.468, 0.269
substance_injection_hands078.jpg, 0.192, 0.258, 0.282, 0.161, 0.417, 0.298
substance_injection_hands079.jpg, 0.484, 0.253, 0.357, 0.226, 0.402, 0.301
substance_injection_hands080.jpg, 0.080, 0.141, 0.355, 0.222, 0.456, 0.315
substance_injection_hands081.jpg, 0.344, 0.168, 0.149, 0.162, 0.467, 0.260
substance_injection_hands082.jpg, 0.372, 0.163, 0.126, 0.132, 0.472, 0.230
substance_injection_hands083.jpg, 0.157, 0.266, 0.384, 0.191, 0.459, 0.311
substance_injection_hands084.jpg, 0.659, 0.334, 0.232, 0.190, 0.505, 0.344
substance_injection_hands085.jpg, 0.113, 0.180, 0.569, 0.261, 0.168, 0.195
substance_injection_hands086.jpg, 0.221, 0.291, 0.442, 0.307, 0.280, 0.303
substance_injection_hands087.jpg, 0.411, 0.367, 0.245, 0.160, 0.395, 0.291
substance_injection_hands088.jpg, 0.078, 0.083, 0.422, 0.245, 0.390, 0.203
substance_injection_instruments109.jpg, 0.455, 0.299, 0.123, 0.134, 0.179, 0.212
substance_injection_instruments110.jpg, 0.274, 0.279, 0.331, 0.376, 0.204, 0.312
substance_injection_instruments111.jpg, 0.138, 0.019, 0.067, 0.063, 0.787, 0.217
substance_injection_instruments112.jpg, 0.223, 0.187, 0.278, 0.142, 0.386, 0.198
substance_injection_instruments113.jpg, 0.659, 0.354, 0.116, 0.102, 0.410, 0.309
substance_injection_instruments114.jpg, 0.156, 0.220, 0.419, 0.340, 0.547, 0.259
substance_injection_instruments115.jpg, 0.097, 0.152, 0.630, 0.302, 0.420, 0.256
substance_injection_instruments116.jpg, 0.697, 0.055, 0.023, 0.014, 0.950, 0.066
substance_injection_instruments117.jpg, 0.012, 0.085, 0.009, 0.084, 0.990, 0.072
substance_injection_instruments118.jpg, 0.589, 0.070, 0.242, 0.114, 0.363, 0.131
substance_injection_instruments119.jpg, 0.105, 0.158, 0.056, 0.127, 0.192, 0.186
substance_injection_instruments120.jpg, 0.816, 0.261, 0.291, 0.147, 0.097, 0.219
substance_instruments033.jpg, 0.709, 0.182, 0.225, 0.178, 0.192, 0.224
substance_instruments034.jpg, 0.070, 0.142, 0.158, 0.174, 0.122, 0.148
substance_instruments035.jpg, 0.011, 0.040, 0.019, 0.081, 0.974, 0.081
substance_instruments036.jpg, 0.074, 0.214, 0.042, 0.117, 0.928, 0.177
substance_instruments037.jpg, 0.256, 0.230, 0.091, 0.092, 0.365, 0.152
substance_instruments038.jpg, 0.093, 0.097, 0.646, 0.237, 0.611, 0.169
substance_instruments039.jpg, 0.219, 0.270, 0.210, 0.342, 0.177, 0.315
substance_instruments040.jpg, 0.127, 0.180, 0.397, 0.263, 0.203, 0.202
substance_instruments041.jpg, 0.376, 0.264, 0.189, 0.207, 0.490, 0.118
substance_instruments042.jpg, 0.310, 0.268, 0.187, 0.165, 0.461, 0.170
substance_instruments043.jpg, 0.537, 0.276, 0.407, 0.285, 0.323, 0.294
substance_instruments044.jpg, 0.000, 0.000, 0.000, 0.000, 0.235, 0.281
substance_instruments045.jpg, 0.221, 0.237, 0.292, 0.230, 0.421, 0.283
substance_instruments046.jpg, 0.309, 0.240, 0.231, 0.179, 0.360, 0.263
substance_instruments047.jpg, 0.231, 0.205, 0.324, 0.395, 0.194, 0.260
