file,arousal,craving,related,typicality,valence,hue,saturation,value,category,group,selected,in_set1,group_set1
control_objects01.jpg,3.235294118,3.705882353,0,19.76470588,5.529411765,0.194,0.057,0.873,0,control,TRUE,FALSE,control FALSE
control_objects12.jpg,3.117647059,7.529411765,0,16.23529412,5.176470588,0.049,0.003,0.984,0,control,TRUE,FALSE,control FALSE
control_objects04.jpg,3.294117647,9.176470588,0,26.41176471,4.764705882,0.182,0.394,0.529,0,control,TRUE,FALSE,control FALSE
control_objects10.jpg,2.941176471,10.05882353,0,18.23529412,5.470588235,0.254,0.168,0.57,0,control,TRUE,FALSE,control FALSE
control_objects_hands32.jpg,2.705882353,2.294117647,0,16.58823529,4.764705882,0.136,0.481,0.849,1,control,TRUE,FALSE,control FALSE
control_objects_hands35.jpg,3,2.941176471,0,30,5.941176471,0.069,0.439,0.624,1,control,TRUE,FALSE,control FALSE
control_objects_hands33.jpg,2.705882353,5.352941176,2.941176471,31.76470588,5.235294118,0.064,0.219,0.274,1,control,TRUE,FALSE,control FALSE
control_objects_hands25.jpg,2.941176471,6.411764706,0,25.41176471,5.529411765,0.428,0.273,0.522,1,control,TRUE,FALSE,control FALSE
control_tools20.jpg,2.294117647,5.058823529,0,28.23529412,4.882352941,0.045,0.037,0.056,2,control,TRUE,FALSE,control FALSE
control_tools18.jpg,3.058823529,5.588235294,0,21.82352941,5.176470588,0.101,0.366,0.508,2,control,TRUE,FALSE,control FALSE
control_tools14.jpg,2.764705882,6.588235294,0,35.29411765,5.352941176,0.292,0.227,0.163,2,control,TRUE,FALSE,control FALSE
control_tools23.jpg,3.235294118,8.705882353,0,42.58823529,5.294117647,0.008,0,0.333,2,control,TRUE,FALSE,control FALSE
control_tools_hands39.jpg,3.117647059,2.647058824,0,24,5.529411765,0.494,0.278,0.779,3,control,TRUE,FALSE,control FALSE
control_tools_hands46.jpg,3,4.470588235,0.058823529,28.52941176,5.235294118,0.206,0.509,0.69,3,control,TRUE,FALSE,control FALSE
control_tools_hands47.jpg,3.176470588,6.117647059,0,27.47058824,5.352941176,0.017,0.068,0.107,3,control,TRUE,FALSE,control FALSE
control_tools_hands40.jpg,3.411764706,7.058823529,0,27.64705882,5,0.065,0.109,0.139,3,control,TRUE,FALSE,control FALSE
control_tools_hands58.jpg,2.705882353,3.588235294,0,23.58823529,5.647058824,0.355,0.349,0.578,4,control,TRUE,FALSE,control FALSE
control_tools_hands50.jpg,3.235294118,5.647058824,0,26.41176471,5.588235294,0.297,0.159,0.489,4,control,TRUE,FALSE,control FALSE
control_tools_hands53.jpg,3.588235294,6.647058824,0.058823529,28,5.529411765,0.209,0.242,0.606,4,control,TRUE,FALSE,control FALSE
control_tools_hands60.jpg,2.823529412,8.647058824,0,38.29411765,5.764705882,0.257,0.274,0.601,4,control,TRUE,FALSE,control FALSE
control_tools_faces67.jpg,2.705882353,2.470588235,0.058823529,25.58823529,5.647058824,0.404,0.294,0.53,5,control,TRUE,FALSE,control FALSE
control_tools_faces65.jpg,3.294117647,3.352941176,0,36.41176471,6,0.264,0.206,0.818,5,control,TRUE,FALSE,control FALSE
control_tools_faces66.jpg,3,5.411764706,0,24.05882353,6.058823529,0.254,0.559,0.512,5,control,TRUE,FALSE,control FALSE
control_tools_faces71.jpg,3.411764706,6.352941176,0,36.23529412,5.764705882,0.456,0.307,0.357,5,control,TRUE,FALSE,control FALSE
control_objects07.jpg,3.294117647,5.117647059,0.058823529,15.88235294,5.529411765,0.036,0.084,0.906,0,control,TRUE,TRUE,control TRUE
control_objects06.jpg,2.764705882,6,0.058823529,32.70588235,5.529411765,0,0,0.544,0,control,TRUE,TRUE,control TRUE
control_objects09.jpg,2.529411765,6.058823529,0,12.17647059,5.470588235,0.228,0.374,0.639,0,control,TRUE,TRUE,control TRUE
control_objects08.jpg,2.529411765,11.76470588,0.058823529,29.82352941,5.117647059,0.04,0.041,0.893,0,control,TRUE,TRUE,control TRUE
control_objects_hands36.jpg,3,3.647058824,0,20.23529412,5.529411765,0.374,0.233,0.562,1,control,TRUE,TRUE,control TRUE
control_objects_hands28.jpg,2.647058824,5.235294118,0,23.29411765,5,0.386,0.261,0.505,1,control,TRUE,TRUE,control TRUE
control_objects_hands26.jpg,2.941176471,7.411764706,0,36.29411765,5.882352941,0.302,0.316,0.416,1,control,TRUE,TRUE,control TRUE
control_objects_hands31.jpg,3.529411765,9.470588235,0,28.88235294,5,0.082,0.429,0.743,1,control,TRUE,TRUE,control TRUE
control_tools15.jpg,3.117647059,2.470588235,0,24.35294118,5.764705882,0.025,0.028,0.966,2,control,TRUE,TRUE,control TRUE
control_tools13.jpg,3,4.588235294,0,17.88235294,4.882352941,0.617,0.317,0.241,2,control,TRUE,TRUE,control TRUE
control_tools17.jpg,3.294117647,6.882352941,0,31.47058824,5.529411765,0.247,0.204,0.719,2,control,TRUE,TRUE,control TRUE
control_tools21.jpg,3.058823529,6.941176471,0,20.11764706,5.176470588,0.092,0.08,0.049,2,control,TRUE,TRUE,control TRUE
control_tools_hands42.jpg,2.941176471,3.411764706,0,42.76470588,5.470588235,0.245,0.345,0.481,3,control,TRUE,TRUE,control TRUE
control_tools_hands43.jpg,2.941176471,5.882352941,0,17.47058824,5.294117647,0.233,0.307,0.497,3,control,TRUE,TRUE,control TRUE
control_tools_hands44.jpg,3.352941176,6.529411765,0,18.11764706,5,0.022,0.107,0.18,3,control,TRUE,TRUE,control TRUE
control_tools_hands48.jpg,2.941176471,7.470588235,0,25.05882353,5.235294118,0.018,0.097,0.144,3,control,TRUE,TRUE,control TRUE
control_tools_hands59.jpg,3.058823529,3.470588235,0,10.70588235,5.235294118,0.202,0.337,0.641,4,control,TRUE,TRUE,control TRUE
control_tools_hands55.jpg,3.411764706,4,0,39.17647059,5.588235294,0.431,0.083,0.34,4,control,TRUE,TRUE,control TRUE
control_tools_hands56.jpg,3.529411765,4.882352941,0,38.41176471,5.529411765,0.065,0.127,0.195,4,control,TRUE,TRUE,control TRUE
control_tools_hands54.jpg,3.294117647,5.352941176,0,20.82352941,6.058823529,0.107,0.479,0.69,4,control,TRUE,TRUE,control TRUE
control_tools_faces72.jpg,2.588235294,2.764705882,0,23.82352941,5.294117647,0.374,0.286,0.528,5,control,TRUE,TRUE,control TRUE
control_tools_faces61.jpg,3.294117647,6.470588235,0,19.23529412,5.588235294,0.393,0.305,0.591,5,control,TRUE,TRUE,control TRUE
control_tools_faces68.jpg,3.411764706,6.470588235,0,24.35294118,5.647058824,0.085,0.265,0.626,5,control,TRUE,TRUE,control TRUE
control_tools_faces70.jpg,3,6.941176471,0,47.76470588,6.235294118,0.238,0.244,0.741,5,control,TRUE,TRUE,control TRUE
substance006.jpg,5.764705882,92,1,94.47058824,4.117647059,0.247,0.152,0.232,0,drug,TRUE,FALSE,drug FALSE
substance003.jpg,6,92.47058824,1,91.23529412,3.941176471,0.195,0.131,0.387,0,drug,TRUE,FALSE,drug FALSE
substance001.jpg,5.470588235,92.58823529,1,93.05882353,4.529411765,0.22,0.024,0.882,0,drug,TRUE,FALSE,drug FALSE
substance014.jpg,5.941176471,92.82352941,1,91.64705882,4.529411765,0.584,0.148,0.832,0,drug,TRUE,FALSE,drug FALSE
substance_hands027.jpg,5.588235294,88,1,93.41176471,4,0.092,0.511,0.268,1,drug,TRUE,FALSE,drug FALSE
substance_hands022.jpg,5.588235294,88.47058824,0.941176471,90.82352941,4.705882353,0.188,0.164,0.158,1,drug,TRUE,FALSE,drug FALSE
substance_hands030.jpg,5.823529412,88.52941176,1,94.35294118,4.470588235,0.263,0.277,0.475,1,drug,TRUE,FALSE,drug FALSE
substance_hands031.jpg,5.117647059,89.58823529,1,91.94117647,4.235294118,0.404,0.392,0.291,1,drug,TRUE,FALSE,drug FALSE
substance_instruments043.jpg,5.470588235,89.29411765,1,92.76470588,3.941176471,0.537,0.407,0.323,2,drug,TRUE,FALSE,drug FALSE
substance_instruments050.jpg,5.529411765,89.94117647,1,90.11764706,4.352941176,0.09,0.344,0.457,2,drug,TRUE,FALSE,drug FALSE
substance_instruments035.jpg,5.941176471,91,1,92.94117647,4.176470588,0.011,0.019,0.974,2,drug,TRUE,FALSE,drug FALSE
substance_instruments045.jpg,6.411764706,91.58823529,1,95.23529412,4.235294118,0.221,0.292,0.421,2,drug,TRUE,FALSE,drug FALSE
substance_instruments_hands074.jpg,5.470588235,88.94117647,1,93.76470588,4.470588235,0.221,0.397,0.296,3,drug,TRUE,FALSE,drug FALSE
substance_instruments_hands067.jpg,6.117647059,89.88235294,1,93.11764706,4.235294118,0.641,0.154,0.444,3,drug,TRUE,FALSE,drug FALSE
substance_instruments_hands076.jpg,5.470588235,90.58823529,1,92.94117647,3.941176471,0.124,0.278,0.359,3,drug,TRUE,FALSE,drug FALSE
substance_instruments_hands057.jpg,6.058823529,91.23529412,1.058823529,95.70588235,4,0.497,0.592,0.225,3,drug,TRUE,FALSE,drug FALSE
substance_injection_hands081.jpg,5.823529412,91.41176471,1,93,3.588235294,0.344,0.149,0.467,4,drug,TRUE,FALSE,drug FALSE
substance_injection_hands084.jpg,6.647058824,91.58823529,1,93.94117647,2.823529412,0.659,0.232,0.505,4,drug,TRUE,FALSE,drug FALSE
substance_injection_hands082.jpg,5.882352941,93.41176471,1,93.76470588,4.235294118,0.372,0.126,0.472,4,drug,TRUE,FALSE,drug FALSE
substance_injection_hands086.jpg,6.117647059,93.94117647,0.941176471,93.52941176,4.882352941,0.221,0.442,0.28,4,drug,TRUE,FALSE,drug FALSE
substance_activities_faces090.jpg,5.941176471,90,1,94.11764706,4.764705882,0.166,0.468,0.197,5,drug,TRUE,FALSE,drug FALSE
substance_activities_faces091.jpg,5.705882353,90.23529412,1,93.23529412,3.941176471,0.165,0.434,0.304,5,drug,TRUE,FALSE,drug FALSE
substance_activities_faces093.jpg,5.764705882,90.23529412,1,93.82352941,4,0.132,0.662,0.301,5,drug,TRUE,FALSE,drug FALSE
substance_activities_faces089.jpg,6.058823529,91.76470588,1,93.58823529,4.647058824,0.371,0.613,0.128,5,drug,TRUE,FALSE,drug FALSE
substance008.jpg,5.352941176,91.70588235,1,91.76470588,4.588235294,0.375,0.161,0.627,0,drug,TRUE,TRUE,drug TRUE
substance009.jpg,6,92.35294118,1,88.05882353,3.882352941,0.458,0.312,0.548,0,drug,TRUE,TRUE,drug TRUE
substance017.jpg,5.647058824,92.47058824,1,93.64705882,4.588235294,0.228,0.332,0.462,0,drug,TRUE,TRUE,drug TRUE
substance002.jpg,6.176470588,93.88235294,1,92.58823529,4.647058824,0.314,0.022,0.822,0,drug,TRUE,TRUE,drug TRUE
substance_hands024.jpg,5.058823529,86.17647059,1,93.29411765,4.294117647,0.238,0.393,0.155,1,drug,TRUE,TRUE,drug TRUE
substance_hands028.jpg,5.588235294,86.76470588,1,92.70588235,3.882352941,0.106,0.439,0.27,1,drug,TRUE,TRUE,drug TRUE
substance_hands021.jpg,5.470588235,90.29411765,1,95.05882353,4.411764706,0.411,0.302,0.345,1,drug,TRUE,TRUE,drug TRUE
substance_hands029.jpg,6.294117647,92.88235294,1,91.29411765,5,0.321,0.304,0.58,1,drug,TRUE,TRUE,drug TRUE
substance_instruments044.jpg,6.058823529,90.11764706,0.882352941,87.17647059,4.352941176,0,0,0.235,2,drug,TRUE,TRUE,drug TRUE
