"file","description","category","group","valence_mean","valence_sd","arousal_mean","arousal_sd","craving_mean","craving_sd","related_mean","related_sd","typicality_mean","typicality_sd","hue_mean","hue_sd","saturation_mean","saturation_sd","value_mean","value_sd"
"control_objects_hands25.jpg","Neutral Objects with Hands","1","control",5.47368421052632,2.01020786798645,3.21052631578947,1.75052206080932,5.78947368421053,11.3606481982931,0,0,24.3157894736842,30.8239672830142,0.428,0.329,0.273,0.12,0.522,0.254
"control_objects_hands26.jpg","Neutral Objects with Hands","1","control",6,1.62221421130763,3.35,1.87153188029148,8.9,15.2415636716806,0,0,34.25,34.0570342065684,0.302,0.352,0.316,0.174,0.416,0.3
"control_objects_hands27.jpg","Neutral Objects with Hands","1","control",5.15789473684211,1.60772986587842,3.52631578947368,2.26981205909779,16,27.0452296060589,0,0,38.5789473684211,34.1683996137329,0.533,0.316,0.257,0.205,0.453,0.247
"control_objects_hands28.jpg","Neutral Objects with Hands","1","control",5.05,1.50350467767462,3.05,1.95945749742385,7.55,15.0104349668734,0,0,24.1,32.2504997921289,0.386,0.285,0.261,0.133,0.505,0.259
"control_objects_hands29.jpg","Neutral Objects with Hands","1","control",5.57894736842105,1.83532587096449,3.68421052631579,2.26206964179432,15.8947368421053,27.0737567414197,0,0,33,35.2877063893677,0.104,0.215,0.354,0.178,0.63,0.287
"control_objects_hands30.jpg","Neutral Objects with Hands","1","control",5.31578947368421,2.0014614543419,3.47368421052632,1.86691727641025,9.10526315789474,20.9440915477429,0,0,26.5789473684211,31.9762338646024,0.358,0.291,0.151,0.123,0.588,0.226
"control_objects_hands31.jpg","Neutral Objects with Hands","1","control",5.11111111111111,1.56764675225935,3.72222222222222,1.7423971167384,8.94444444444444,15.5958977344618,0,0,28.2222222222222,34.7081200120554,0.082,0.041,0.429,0.133,0.743,0.193
"control_objects_hands32.jpg","Neutral Objects with Hands","1","control",4.78947368421053,2.07039844175037,2.73684210526316,1.91026773176368,2.15789473684211,2.52241414113845,0,0,15.8421052631579,25.8763365900515,0.136,0.206,0.481,0.173,0.849,0.139
"control_objects_hands33.jpg","Neutral Objects with Hands","1","control",5.21052631578947,1.58391032884585,2.94736842105263,1.87004706448576,5.10526315789474,11.7184315258869,0,0,29.7894736842105,32.6012592588562,0.064,0.053,0.219,0.081,0.274,0.206
"control_objects_hands34.jpg","Neutral Objects with Hands","1","control",5.65,1.95407805694439,3.1,1.99736668746891,13.05,25.3636187854718,0,0,45.8,36.2804862730715,0.017,0.061,0.124,0.231,0.192,0.348
"control_objects_hands35.jpg","Neutral Objects with Hands","1","control",6.15789473684211,1.83373201406727,2.94736842105263,1.98532628749943,3.36842105263158,5.02450137178683,0,0,29.6315789473684,33.3786534018971,0.069,0.108,0.439,0.125,0.624,0.189
"control_objects_hands36.jpg","Neutral Objects with Hands","1","control",5.47368421052632,1.54086631666993,3.42105263157895,1.92399438303882,3.42105263157895,5.26324561330411,0,0,18.7368421052632,32.3845678359019,0.374,0.371,0.233,0.113,0.562,0.272
"control_objects01.jpg","Neutral Objects","0","control",5.68421052631579,1.79668310378837,3.42105263157895,1.92399438303882,6.10526315789474,11.7279094321675,0,0,21,27.491412800687,0.194,0.376,0.057,0.114,0.873,0.222
"control_objects02.jpg","Neutral Objects","0","control",5.05,1.90497962414852,4,2.15211034739588,25.15,30.4238047380146,0.15,0.366347548532523,31.7,31.4727952699671,0.028,0.093,0.027,0.067,0.947,0.134
"control_objects03.jpg","Neutral Objects","0","control",5.42105263157895,1.60954753730786,3.57894736842105,1.92399438303882,15.0526315789474,25.7627502073364,0,0,25.4210526315789,31.4100404850878,0.393,0.298,0.09,0.15,0.611,0.175
"control_objects04.jpg","Neutral Objects","0","control",4.78947368421053,1.84327448273811,3.68421052631579,1.73373814436217,11.1052631578947,15.5273763142612,0,0,24.2105263157895,28.8455252593081,0.182,0.275,0.394,0.247,0.529,0.135
"control_objects05.jpg","Neutral Objects","0","control",5.2,2.06728909698821,3.85,2.60111312204683,32.3,40.5412071068957,0.3,0.470162345981627,39,41.7964994756864,0.252,0.286,0.129,0.158,0.171,0.2
"control_objects06.jpg","Neutral Objects","0","control",5.45,1.57195821559574,2.9,1.91668573598447,7.9,15.2622685766325,0.05,0.223606797749979,30.95,36.7759575352101,0,0.002,0,0,0.544,0.219
