orderNum,text,url,millisecondsOnPage,responseDelay,subjectId,response
0,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_objects/control_objects06.jpg,27250,26270,AL550,1
0,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_objects/control_objects01.jpg,23745,22845,AR005,0
0,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_objects/control_objects03.jpg,19770,18150,AR868,0
0,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_objects/control_objects10.jpg,52920,50405,AU922,0
0,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_objects/control_objects12.jpg,16335,15445,AQ029,0
0,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_objects/control_objects11.jpg,17935,17205,AL473,0
0,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_objects/control_objects07.jpg,20345,19550,AL914,0
0,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_objects/control_objects06.jpg,63735,61875,AR560,0
0,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_objects/control_objects12.jpg,14655,13550,AL016,0
0,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_objects/control_objects02.jpg,14320,12760,AV940,0
0,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_objects/control_objects08.jpg,41750,32820,AW709,1
0,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_objects/control_objects01.jpg,31680,27320,AR005,9
0,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_objects/control_objects03.jpg,16255,10925,AR868,5
0,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_objects/control_objects12.jpg,23930,23930,AQ029,5
0,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_objects/control_objects06.jpg,16925,14400,AL550,5
0,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_objects/control_objects07.jpg,15995,15995,AL914,5
0,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_objects/control_objects06.jpg,14500,5495,AR560,8
0,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_objects/control_objects10.jpg,17595,17595,AU922,5
0,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_objects/control_objects12.jpg,19145,7165,AL016,9
0,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_objects/control_objects11.jpg,21700,13995,AL473,5
0,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_objects/control_objects02.jpg,17025,14780,AV940,3
0,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_objects/control_objects08.jpg,24365,22380,AW709,5
0,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/control_objects/control_objects01.jpg,6925,4460,AR005,1
0,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/control_objects/control_objects03.jpg,15195,6490,AR868,1
0,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/control_objects/control_objects12.jpg,8040,6970,AQ029,1
0,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/control_objects/control_objects06.jpg,13965,7635,AL550,4
0,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/control_objects/control_objects06.jpg,16820,10795,AR560,1
0,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/control_objects/control_objects07.jpg,22285,20195,AL914,1
0,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/control_objects/control_objects02.jpg,6010,3875,AV940,2
0,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/control_objects/control_objects12.jpg,4235,2910,AL016,1
