"description","valence_mean_mean","valence_mean_sd","arousal_mean_mean","arousal_mean_sd","craving_mean_mean","craving_mean_sd","related_mean_mean","related_mean_sd","typicality_mean_mean","typicality_mean_sd","hue_mean_mean","hue_mean_sd","saturation_mean_mean","saturation_mean_sd","value_mean_mean","value_mean_sd"
"Drug",4.14459064327485,0.275560238620554,6.13384502923977,0.262234587551852,89.6707456140351,3.82287997027366,0.992105263157895,0.0192814499227644,90.9725292397661,3.33833702876496,0.3402,0.125727608658351,0.1386,0.0931147565895806,0.53415,0.245618290721278
"Drug Activities and Faces",3.96947368421053,0.281845344767496,5.96144736842105,0.357892980075532,87.3124707602339,4.92996576285685,1,0,90.5648830409357,3.31001465836406,0.1864,0.102880308585933,0.472,0.10227619983472,0.2703,0.138833903033729
"Drug and Hand",4.27097953216374,0.301372784280128,5.9333089668616,0.413664590219581,87.0673976608187,4.61323826224148,0.987061403508772,0.0234157655806982,91.3696881091618,2.58295896689903,0.295,0.147941020188944,0.34125,0.0903419010808888,0.309416666666667,0.129236540240496
"Drug Injection and Hands",3.64617224880383,0.620361305273658,6.36387559808612,0.413265307708653,90.3265550239234,6.01097489506662,0.97200956937799,0.0526614747628706,91.2296650717703,4.53786899034759,0.332272727272727,0.199029691709097,0.320454545454545,0.130137898889112,0.408090909090909,0.0998803830043263
"Drug Injection Instruments",3.83441295546559,0.327906440201522,6.32570850202429,0.442523524995634,89.6983355825461,4.86263584287236,0.971592442645074,0.0356035119692929,91.4033738191633,2.93722473538667,0.330692307692308,0.275846087705742,0.231307692307692,0.187508392974548,0.455,0.289705022393468
"Drug Instruments",4.07058966861598,0.291959879707398,5.94597953216374,0.500795548536279,85.3717470760234,8.22338135592293,0.973745126705653,0.0627870701596922,89.8979410331384,4.51069940287034,0.244125,0.209590555815276,0.235958333333333,0.201914204588218,0.487708333333333,0.32297428611695
"Drug Instruments and Hands",4.03397574819401,0.361803702125148,5.93785087719298,0.52118655418199,85.9586988304094,7.74789317274467,0.98156432748538,0.0392427354720014,89.3792251461988,5.82592394136987,0.24675,0.138560598561367,0.3845,0.113865340597891,0.30355,0.164785817925796
"Neutral Objects",5.28513645224172,0.238805301089988,3.40850389863548,0.408603306409051,12.2975389863548,8.33356574422297,0.0636208576998051,0.0883512992403547,24.6925194931774,8.6123333318534,0.155666666666667,0.129454332652191,0.13025,0.15262022086926,0.68275,0.241244547748093
"Neutral Objects with Hands",5.41408382066277,0.395165200333457,3.26413255360624,0.314113593468164,8.2738791423002,4.70850042505354,0,0,29.070492202729,8.25393641512118,0.23775,0.176427747250822,0.29475,0.112770986758765,0.529833333333333,0.183339641764743
"Neutral Tools",5.24331355349157,0.315540938716248,3.30321637426901,0.360326078919843,8.17468323586745,2.78530294512585,0.0178118908382066,0.0263469183050101,27.9688352826511,7.40290465348215,0.1325,0.178234523744827,0.1265,0.123960770920774,0.3755,0.33785163500082
"Neutral Tools with Faces",5.80999025341131,0.279524957513716,3.23681773879142,0.292466537829562,7.7098440545809,3.63919650661924,0.0043859649122807,0.0151934281365691,30.1912768031189,8.78735082194856,0.3,0.134139682963151,0.316166666666667,0.124423640937896,0.529833333333333,0.173886500774255
"Neutral Tools with Hands, complex",5.65689571150098,0.25603863049828,3.4869395711501,0.297931351179736,7.39383528265107,2.96748229350382,0.012962962962963,0.0234907309529382,27.4112816764133,9.81667363170385,0.258916666666667,0.126662370341811,0.297,0.133987787774585,0.505166666666667,0.165949517698131
"Neutral Tools with Hands, simple",5.29137426900585,0.252661989058133,3.47804580896686,0.354290755285797,10.7380116959064,9.23565365938402,0.0397417153996101,0.0785753791893909,29.6512426900585,7.4999959823162,0.183583333333333,0.163976970851693,0.202833333333333,0.131065447449553,0.357833333333333,0.255200040372373
