Group,ImageSet,File,Category,allsubjects_valence_mean,allsubjects_valence_sd,allsubjects_arousal_mean,allsubjects_arousal_sd,allsubjects_craving_mean,allsubjects_craving_sd,allsubjects_typicality_mean,allsubjects_typicality_sd,allsubjects_FractionNeither,allsubjects_FractionMeth,allsubjects_FractionOpioid,allsubjects_FractionBoth,allsubjects_MethToOpioid,injectionusers_valence_mean,injectionusers_valence_sd,injectionusers_arousal_mean,injectionusers_arousal_sd,injectionusers_craving_mean,injectionusers_craving_sd,injectionusers_typicality_mean,injectionusers_typicality_sd,injectionusers_FractionNeither,injectionusers_FractionMeth,injectionusers_FractionOpioid,injectionusers_FractionBoth,injectionusers_MethToOpioid,noninjectionusers_valence_mean,noninjectionusers_valence_sd,noninjectionusers_arousal_mean,noninjectionusers_arousal_sd,noninjectionusers_craving_mean,noninjectionusers_craving_sd,noninjectionusers_typicality_mean,noninjectionusers_typicality_sd,noninjectionusers_FractionNeither,noninjectionusers_FractionMeth,noninjectionusers_FractionOpioid,noninjectionusers_FractionBoth,noninjectionusers_MethToOpioid,hue_mean,hue_sd,saturation_mean,saturation_sd,value_mean,value_sd,p_cravingdelta_injectionVnon,selection_cost,category_number,selected,in_set,IAPS,desc,valsd,arosd,dom1mn,dom1sd,dom2mn,dom2sd,set,rajita_used,possible_option,selection_group
opioid Slide083.jpeg,opioid,Slide083.jpeg,opioid_instrument_hand,4.63,1.69,4.63,2.48,85.78,17.96,85.67,18.01,0,0.07407,0.40741,0.51852,0.33333,4.65,1.755,4.65,2.48,87.7,18.23,87.2,18.83,0,0.05,0.5,0.45,0.45,4.57,1.618,4.57,2.7,80.29,17.24,81.29,15.89,0,0.14286,0.14286,0.7143,0,0.094,0.209,0.741,0.247,0.429,0.339,0.35534,0.019758,4,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide119.jpeg,opioid,Slide119.jpeg,opioid_face_activities,4.46,1.895,4.64,2.63,92.86,13.39,93.32,13.03,0,0.25,0.17857,0.57143,-0.07143,4.62,1.717,4.9,2.41,91.67,15.17,91.81,14.75,0,0.2381,0.2381,0.52381,0,4,2.449,3.86,3.29,96.43,4.39,97.86,2.61,0,0.28571,0,0.7143,-0.28571,0.105,0.239,0.748,0.306,0.33,0.321,0.20988,0.040629,6,TRUE,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide043.jpeg,opioid,Slide043.jpeg,opioid_injection_instrument,4.43,1.709,4.68,2.78,90.75,15.66,91.75,13.19,0,0.03571,0.71429,0.25,0.67857,4.52,1.632,5,2.65,89.86,17.52,91,14.98,0,0.04762,0.7619,0.19048,0.71429,4.14,2.035,3.71,3.15,93.43,8.32,94,5.16,0,0,0.57143,0.4286,0.57143,0.094,0.074,0.641,0.164,0.583,0.173,0.47821,0.043406,3,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide120.jpeg,opioid,Slide120.jpeg,opioid_face_activities,4.36,2.129,5,2.75,93.82,10.78,94.36,10.8,0.03571,0.14286,0.17857,0.64286,0.03571,4.48,2.064,5.38,2.52,93.05,11.88,93.48,11.99,0,0.09524,0.2381,0.66667,0.14286,4,2.449,3.86,3.29,96.14,6.59,97,5.92,0.14286,0.28571,0,0.5714,-0.28571,0.082,0.195,0.688,0.209,0.302,0.306,0.40007,0.065672,6,TRUE,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide092.jpeg,opioid,Slide092.jpeg,opioid_injection_hand,4.07,2.218,4.93,2.84,87.19,17.94,89.48,15.99,0,0.11111,0.03704,0.85185,-0.07407,4.25,2.124,5.3,2.54,88.3,18.27,88.05,18.13,0,0.05,0.05,0.9,0,3.57,2.573,3.86,3.58,84,17.93,93.57,6.43,0,0.28571,0,0.7143,-0.28571,0.179,0.297,0.654,0.151,0.274,0.162,0.59792,0.072833,5,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide116.jpeg,opioid,Slide116.jpeg,opioid_face_activities,4.37,1.843,4.59,2.68,87.44,18.43,86.48,19.4,0.03704,0.07407,0.48148,0.40741,0.40741,4.4,1.759,4.7,2.56,86.5,20.7,84.5,21.88,0.05,0,0.65,0.3,0.65,4.29,2.215,4.29,3.2,90.14,10.14,92.14,8.09,0,0.28571,0,0.7143,-0.28571,0.191,0.345,0.591,0.342,0.294,0.301,0.55072,0.086198,6,TRUE,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide106.jpeg,opioid,Slide106.jpeg,opioid_face_activities,4.33,2.038,4.81,2.54,87.96,17.41,87.89,18.22,0,0.11111,0.14815,0.74074,0.03704,4.45,2.064,5,2.34,86.6,19.78,86.15,20.79,0,0.05,0.15,0.8,0.1,4,2.082,4.29,3.2,91.86,7.08,92.86,5.64,0,0.28571,0.14286,0.5714,-0.14286,0.156,0.268,0.662,0.288,0.227,0.287,0.31905,0.095509,6,TRUE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide024.jpeg,opioid,Slide024.jpeg,opioid_hand,4.7,1.772,4.52,2.76,87.3,16.87,88.26,16.19,0,0,0.96296,0.03704,0.96296,4.85,1.755,4.7,2.74,86.85,18.35,86.65,18.32,0,0,0.95,0.05,0.95,4.29,1.89,4,3,88.57,12.86,92.86,6.36,0,0,1,0,1,0.108,0.249,0.503,0.223,0.467,0.207,0.79029,0.097762,2,TRUE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide025.jpeg,opioid,Slide025.jpeg,opioid_hand,4.52,1.718,4.59,2.61,82.22,19.35,84.63,18.77,0.03704,0,0.96296,0,0.96296,4.6,1.698,4.6,2.68,84.2,19.94,85.3,19.78,0.05,0,0.95,0,0.95,4.29,1.89,4.57,2.57,76.57,17.71,82.71,16.77,0,0,1,0,1,0.061,0.135,0.51,0.24,0.504,0.184,0.3619,0.103437,2,TRUE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide007.jpeg,opioid,Slide007.jpeg,opioid,4.89,2.006,4.44,2.68,84.41,19.57,85.81,19.27,0,0,0.96296,0.03704,0.96296,5.15,1.872,4.5,2.67,82.7,21.89,83.75,21.68,0,0,0.95,0.05,0.95,4.14,2.34,4.29,2.93,89.29,10.31,91.71,8.1,0,0,1,0,1,0.205,0.286,0.538,0.337,0.313,0.321,0.30366,0.103638,1,TRUE,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
