ImageSet,File,hue_mean,hue_sd,saturation_mean, saturation_sd,value_mean, value_sd
iaps,1019.jpg, 0.173, 0.166, 0.790, 0.231, 0.404, 0.343
iaps,1022.jpg, 0.074, 0.114, 0.403, 0.412, 0.291, 0.394
iaps,1026.jpg, 0.108, 0.069, 0.523, 0.163, 0.429, 0.190
iaps,1030.jpg, 0.106, 0.135, 0.712, 0.358, 0.448, 0.299
iaps,1033.jpg, 0.168, 0.129, 0.352, 0.185, 0.385, 0.242
iaps,1040.jpg, 0.210, 0.248, 0.738, 0.217, 0.329, 0.316
iaps,1050.jpg, 0.488, 0.304, 0.869, 0.225, 0.158, 0.228
iaps,1051.jpg, 0.069, 0.108, 0.387, 0.415, 0.222, 0.342
iaps,1052.jpg, 0.304, 0.184, 0.696, 0.329, 0.260, 0.324
iaps,1070.jpg, 0.430, 0.231, 0.714, 0.259, 0.194, 0.283
iaps,1080.jpg, 0.295, 0.382, 0.445, 0.184, 0.477, 0.201
iaps,1090.jpg, 0.267, 0.126, 0.275, 0.207, 0.636, 0.275
iaps,1101.jpg, 0.059, 0.085, 0.360, 0.398, 0.248, 0.345
iaps,1110.jpg, 0.310, 0.364, 0.425, 0.273, 0.483, 0.245
iaps,1111.jpg, 0.198, 0.193, 0.629, 0.339, 0.461, 0.325
iaps,1112.jpg, 0.225, 0.142, 0.451, 0.208, 0.404, 0.211
iaps,1113.jpg, 0.120, 0.281, 0.473, 0.419, 0.105, 0.182
iaps,1114.jpg, 0.185, 0.285, 0.338, 0.192, 0.443, 0.242
iaps,1120.jpg, 0.213, 0.386, 0.777, 0.302, 0.314, 0.333
iaps,1121.jpg, 0.113, 0.144, 0.304, 0.343, 0.194, 0.268
iaps,1122.jpg, 0.312, 0.302, 0.095, 0.110, 0.705, 0.197
iaps,1200.jpg, 0.267, 0.283, 0.939, 0.072, 0.433, 0.266
iaps,1201.jpg, 0.230, 0.149, 0.161, 0.213, 0.564, 0.367
iaps,1202.jpg, 0.080, 0.046, 0.224, 0.119, 0.794, 0.117
iaps,1205.jpg, 0.305, 0.378, 0.445, 0.218, 0.370, 0.223
iaps,1220.jpg, 0.193, 0.271, 0.808, 0.194, 0.450, 0.247
iaps,1230.jpg, 0.175, 0.225, 0.557, 0.394, 0.343, 0.324
iaps,1240.jpg, 0.132, 0.270, 0.641, 0.439, 0.180, 0.198
iaps,1270.jpg, 0.553, 0.156, 0.404, 0.192, 0.573, 0.234
iaps,1271.jpg, 0.179, 0.183, 0.435, 0.244, 0.599, 0.269
