{\rtf1\mac\ansicpg10000\cocoartf824\cocoasubrtf480
{\fonttbl\f0\fswiss\fcharset77 Helvetica;}
{\colortbl;\red255\green255\blue255;}
\margl1440\margr1440\vieww9000\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\ql\qnatural\pardirnatural

\f0\fs24 \cf0 desc	IAPS	valmn	valsd	aromn	arosd	dom1mn	dom1sd	dom2mn	dom2sd	set\
Snake	1019	3.46	2.03	6.06	1.83	4.03	2.1	.	.	12\
Snake	1022	4.12	2.28	6.15	2.05	3.74	2.4	.	.	12\
Snake	1026	3.65	2.05	5.54	2.42	.	.	3.92	2.46	16\
Snake	1030	3.90	2.08	5.54	2.49	3.97	1.97	.	.	1\
Snake	1033	3.25	1.77	6.29	2.22	3.42	2.17	.	.	18\
Snake	1040	3.59	2.12	6.33	2.04	3.67	2.25	.	.	1\
Snake	1050	3.02	1.93	6.90	1.82	3.02	2.08	.	.	6\
Snake	1051	3.28	1.66	6.06	2.17	3.31	2.16	.	.	12\
Snake	1052	2.99	1.85	6.89	2.18	2.70	2.03	.	.	11\
Snake	1070	3.49	2.09	6.08	1.95	3.36	1.76	.	.	1\
Snake	1080	3.59	1.59	5.82	2.08	3.85	1.93	.	.	1\
Snake	1090	3.29	1.91	5.94	2.25	3.44	2.22	.	.	2\
Snake	1101	3.52	1.85	6.11	2.28	3.53	2.22	.	.	11\
Snake	1110	3.65	1.76	5.90	2.26	3.48	2.22	.	.	2\
Snakes	1111	2.81	1.64	5.83	2.27	5.10	2.14	3.67	1.77	7\
Snake	1112	4.60	1.61	4.79	2.45	5.53	2.26	.	.	8\
Snake	1113	3.26	1.63	6.38	2.13	3.26	1.86	.	.	8\
Snake	1114	3.43	2.16	6.34	2.19	.	.	3.63	2.45	14\
Snake	1120	3.03	1.74	7.20	1.86	3.22	2.42	.	.	3\
Lizard	1121	5.65	1.79	5.06	2.03	5.57	1.95	.	.	11\
Lizard	1122	4.91	1.82	4.46	2.18	5.41	2.1	.	.	18\
Spider	1200	3.44	2.21	6.69	1.92	3.85	2.22	.	.	1\
Spider	1201	2.93	1.81	6.87	2.09	3.82	2.26	3.48	2.32	7\
Spider	1202	2.98	1.65	5.80	2.47	3.92	2.34	.	.	20\
Spider	1205	3.22	1.62	5.94	2.22	.	.	3.72	2.15	14\
Spider	1220	3.05	1.81	5.74	2.19	4.05	1.97	.	.	1\
Spider	1230	3.92	1.75	4.72	2.24	4.23	1.63	.	.	1\
Spider	1230	4.31	1.83	4.15	2.54	5.60	2.12	.	.	2\
Spider	1240	3.72	1.96	5.03	2.08	4.28	1.96	.	.	1\
Roach	1270	3.06	1.74	5.37	2.44	4.59	2.21	.	.	4\
Roaches	1271	2.65	1.45	6.01	2.29	3.73	1.74	.	.	19\
Roaches	1274	2.86	1.55	5.66	2.59	4.58	2.45	.	.	5\
Roaches	1275	3.06	1.68	5.47	1.8	4.53	1.86	.	.	6\
Rat	1280	3.16	1.6	5.24	2.07	5.00	2.41	.	.	4\
PitBull	1300	3.41	1.63	6.70	2.04	3.34	2.27	.	.	3\
Dog	1301	3.32	1.53	5.91	1.96	3.47	1.89	.	.	8\
Dog	1302	4.11	1.88	6.08	1.95	4.05	1.72	3.72	2.1	7\
Dog	1303	4.66	2.22	5.96	1.79	4.55	1.98	.	.	11\
AttackDog	1304	3.02	1.47	6.35	1.96	3.37	1.81	.	.	17\
Leopard	1310	4.05	1.49	6.09	1.96	3.91	1.99	.	.	3\
Frog	1313	5.76	1.58	4.71	1.96	5.71	1.92	.	.	11\
Bear	1321	3.90	1.86	6.85	1.85	3.21	1.96	.	.	12\
Parrots	1333	6.41	1.68	2.96	2	.	.	6.51	2.07	13\
Women	1340	7.63	1.52	5.25	2.24	5.85	1.75	.	.	11\
Pig	1350	5.45	2.14	4.41	1.88	5.64	1.79	.	.	20\
Bees	1390	4.09	1.56	5.41	1.82	4.30	1.71	.	.	3\
Ferret	1410	7.09	1.6	4.28	1.98	6.12	1.81	.	.	18\
Birds	1419	6.96	1.58	3.26	2.03	.	.	5.92	1.99	13\
Seal	1440	8.43	1.44	4.47	2.82	5.78	2.63	.	.	6\
PolarBears	1441	8.14	1.33	4.00	2.55	.	.	6.1	2.1	15\
Gannet	1450	6.87	1.54	2.80	1.87	6.26	1.93	.	.	1\
Kitten	1460	8.58	0.76	4.42	2.6	6.34	1.99	.	.	5\
Kittens	1463	7.81	1.96	5.11	2.17	6.53	2.11	.	.	8\
Dog	1500	7.72	1.7	4.15	2.46	6.90	1.71	.	.	1\
DogRace	1505	3.78	1.66	4.66	1.8	4.45	1.92	.	.	17\
Dog	1510	7.15	2.33	4.41	2.58	5.85	2.17	.	.	1\
AttackDog	1525	2.67	1.74	6.86	2.16	.	.	2.55	1.99	13\
Cat	1540	7.49	2.02	4.77	2.43	6.41	2.19	.	.	1\
Hawk	1560	5.41	2.21	5.33	2.26	4.85	2.23	.	.	1\
Horse	1590	7.60	1.43	4.73	2.29	5.69	2	.	.	2\
Horse	1590	7.64	1.29	4.75	2.19	5.59	1.77	.	.	3\
Pony	1595	6.29	1.67	4.60	2.15	5.57	1.82	.	.	19\
Horse	1600	7.80	1.44	4.03	2.7	6.46	1.79	.	.	1\
Giraffes	1601	7.17	1.5	4.02	1.97	6.51	1.89	.	.	8\
Butterfly	1602	7.08	1.67	3.66	2.19	6.83	1.75	.	.	8\
Butterfly	1603	7.41	1.2	3.28	2.27	6.77	2.21	.	.	10\
Butterfly	1604	7.62	1.25	3.39	2.31	6.79	2.26	.	.	9\
Butterfly	1605	6.91	1.58	3.30	2.01	5.84	1.8	.	.	19\
Rabbit	1610	8.39	0.91	3.33	2.36	6.21	2.34	.	.	1\
Rabbit	1610	8.00	1.2	3.75	2.54	6.56	2.15	.	.	2\
Bird	1616	5.14	1.22	4.15	1.95	5.49	1.62	.	.	11\
Mole	1617	3.76	1.5	5.02	2.71	.	.	4.52	1.85	16\
Antelope	1620	7.95	1.19	3.49	2.36	6.67	1.85	.	.	1\
Fawn	1630	7.74	1.37	4.45	2.74	6.18	1.99	.	.	20\
Coyote	1640	6.32	2.45	5.13	2.24	4.90	2.13	.	.	1\
Coyote	1640	6.17	1.92	5.44	1.7	4.60	2.04	.	.	2\
Wolf	1645	4.74	1.71	5.20	1.99	4.52	2.05	.	.	18\
Jaguar	1650	6.49	2.37	6.05	2	3.69	2.18	.	.	1\
Gorilla	1659	6.79	2.09	4.79	2.19	5.77	1.74	.	.	20\
Gorilla	1660	6.33	1.84	4.69	2.43	4.77	1.95	.	.	1\
Orangutan	1661	6.33	1.68	4.26	2.07	.	.	5.93	1.86	14\
Cow	1670	7.11	1.72	3.16	2.15	6.45	1.74	.	.	1\
Cow	1670	5.88	1.84	3.52	2.05	5.40	1.74	.	.	2\
Buffalo	1675	5.10	1.52	4.36	2.18	.	.	4.34	2.02	15\
Puppies	1710	8.59	0.99	5.31	2.54	6.50	2.09	.	.	3\
Lion	1720	6.78	1.59	5.08	1.82	4.16	2.11	.	.	3\
Lion	1721	7.70	1.28	4.48	2.26	5.48	2.19	.	.	10\
Jaguars	1722	7.18	2.3	5.60	2.68	5.88	2.55	.	.	12\
Tiger	1726	4.34	2.13	6.32	2.14	.	.	3.61	2.16	14\
Lion	1731	7.27	1.65	4.48	2.56	.	.	6.02	2.25	14\
Owl	1740	7.00	1.32	3.83	1.78	5.69	1.73	.	.	3\
Bunnies	1750	8.59	0.75	4.02	2.4	6.28	2.01	.	.	3\
Hippo	1810	6.68	1.56	3.94	1.95	4.38	1.85	.	.	5\
Monkeys	1811	7.95	1.51	5.21	2.57	6.10	1.71	5.91	2.16	7\
Elephants	1812	7.22	1.25	3.65	1.99	5.90	1.73	.	.	9\
Crocodile	1820	4.99	2.14	5.91	2.04	4.32	2.33	.	.	19\
Camels	1850	6.17	1.67	3.84	2.23	5.73	1.84	.	.	12\
Fish	1900	6.83	1.88	3.74	2.45	6.36	2.19	.	.	4\
Shrimp	1903	5.54	1.76	4.18	1.96	6.25	2.02	.	.	17\
Jellyfish	1908	5.15	1.49	4.83	2.16	4.86	1.61	.	.	17\
Grouper	1910	6.89	1.75	2.83	2.21	6.64	2	.	.	4\
Porpoise	1920	7.94	1.61	4.31	2.57	6.56	2.05	.	.	4\
Shark	1930	3.56	1.9	6.71	1.91	2.93	1.91	.	.	4\
Shark	1931	3.57	2.13	6.73	2.23	3.05	2.03	2.48	1.65	7\
Shark	1932	2.92	1.87	6.73	2.2	.	.	2.88	2.03	13\
HermitCrab	1935	4.63	1.5	4.43	1.94	.	.	5.35	1.93	14\
