{\rtf1\mac\ansicpg10000\cocoartf824\cocoasubrtf480
{\fonttbl\f0\fswiss\fcharset77 Helvetica;}
{\colortbl;\red255\green255\blue255;}
\margl1440\margr1440\vieww9000\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\ql\qnatural\pardirnatural

\f0\fs24 \cf0 desc	IAPS	valmn	valsd	aromn	arosd	dom1mn	dom1sd	dom2mn	dom2sd	set\
Snake	1019	4.67	1.63	5.34	1.76	4.53	2.03	.	.	12\
Snake	1022	4.48	1.62	5.83	1.86	4.13	1.9	.	.	12\
Snake	1026	4.62	1.61	5.71	2.01	.	.	5.04	2.2	16\
Snake	1030	4.70	2.55	5.39	2.4	5.15	2.76	.	.	1\
Snake	1033	4.93	1.77	5.86	2.02	4.24	2.07	.	.	18\
Snake	1040	4.38	2.31	6.18	2.23	4.17	2.32	.	.	1\
Snake	1050	3.90	2.28	6.84	1.55	3.14	1.78	.	.	6\
Snake	1051	4.53	1.61	5.79	1.69	4.49	2.11	.	.	12\
Snake	1052	4.35	1.56	5.92	2.2	4.46	2.23	.	.	11\
Snake	1070	4.43	2.42	6.25	2.22	4.05	2.54	.	.	1\
Snake	1080	4.90	2.32	5.56	2.49	4.82	2.78	.	.	1\
Snake	1090	4.17	1.79	5.85	2.07	4.27	2.27	.	.	2\
Snake	1101	5.11	1.37	5.36	2.14	5.12	2.09	.	.	11\
Snake	1110	4.07	2.03	6.02	2.07	4.27	2.38	.	.	2\
Snakes	1111	3.76	1.52	4.45	1.99	5.49	2.29	4.22	2.37	7\
Snake	1112	4.83	1.79	4.40	2.44	5.00	2.12	.	.	8\
Snake	1113	4.37	1.72	5.73	2.07	4.58	2.14	.	.	8\
Snake	1114	4.73	1.93	6.33	2.16	.	.	4.44	2.49	14\
Snake	1120	4.73	1.75	6.60	1.38	4.67	1.1	.	.	3\
Lizard	1121	6.02	1.23	4.45	1.86	6.42	1.96	.	.	11\
Lizard	1122	5.55	1.45	4.07	2.14	5.80	1.66	.	.	18\
Spider	1200	4.46	2.13	5.36	2.62	4.80	2.24	.	.	1\
Spider	1201	4.27	1.73	5.75	1.99	4.94	2.1	2.98	2.08	7\
Spider	1202	4.03	1.81	6.20	1.45	4.80	2.32	.	.	20\
Spider	1205	4.15	1.78	5.61	2.13	.	.	4.55	2.16	14\
Spider	1220	3.88	1.76	5.40	2.5	5.02	2.6	.	.	1\
Spider	1230	4.25	1.5	4.98	2.29	4.92	2.34	.	.	1\
Spider	1230	4.95	1.56	3.90	2.28	5.59	1.77	.	.	2\
Spider	1240	4.70	1.81	4.83	2.26	5.60	2.31	.	.	1\
Roach	1270	4.58	1.65	3.90	2.19	6.21	2.55	.	.	4\
Roaches	1271	3.96	1.6	4.46	2.38	4.85	2.46	.	.	19\
Roaches	1274	3.50	1.44	5.09	2.14	5.52	2.22	.	.	5\
Roaches	1275	3.53	1.61	4.14	2.41	5.69	2.43	.	.	6\
Rat	1280	4.40	1.7	4.48	1.84	5.12	1.89	.	.	4\
PitBull	1300	4.06	1.54	6.90	1.59	3.67	1.88	.	.	3\
Dog	1301	4.10	1.71	5.63	2.39	4.46	1.96	.	.	8\
Dog	1302	4.38	1.64	5.89	1.79	4.63	2.33	3.54	1.78	7\
Dog	1303	4.72	1.94	5.24	2.35	5.72	2.17	.	.	11\
AttackDog	1304	3.89	1.6	6.39	1.9	3.18	1.47	.	.	17\
Leopard	1310	5.27	1.54	5.89	1.61	4.94	1.81	.	.	3\
Frog	1313	5.46	1.25	3.85	2.04	6.23	1.88	.	.	11\
Bear	1321	4.94	1.71	6.34	1.94	3.96	2.28	.	.	12\
Parrots	1333	5.79	1.21	3.38	1.92	.	.	6.05	2.01	13\
Women	1340	6.31	1.27	3.89	2.2	6.62	1.75	.	.	11\
Pig	1350	4.89	1.56	4.29	1.54	5.54	1.69	.	.	20\
Bees	1390	5.00	1.43	5.15	2.14	5.29	1.86	.	.	3\
Ferret	1410	6.86	1.16	4.00	2.09	5.95	1.5	.	.	18\
Birds	1419	6.08	1.13	3.73	1.84	.	.	5.71	1.96	13\
Seal	1440	7.96	1.59	4.76	2.25	6.33	2.1	.	.	6\
PolarBears	1441	7.71	1.17	3.84	2.1	.	.	6.71	1.83	15\
Gannet	1450	5.84	1.56	2.87	1.89	7.27	1.88	.	.	1\
Kitten	1460	7.80	1.47	4.20	2.69	5.63	1.97	.	.	5\
Kittens	1463	7.10	1.47	4.46	2.17	6.33	1.72	.	.	8\
Dog	1500	6.77	1.95	4.08	2.58	7.05	1.62	.	.	1\
DogRace	1505	4.64	1.53	4.84	1.89	4.55	1.7	.	.	17\
Dog	1510	6.88	1.79	4.15	2.38	6.74	2.04	.	.	1\
AttackDog	1525	3.55	1.59	6.14	2.31	.	.	3.79	2.24	13\
Cat	1540	6.83	1.87	4.33	2.28	7.60	1.58	.	.	1\
Hawk	1560	6.55	2.32	5.68	2.12	5.52	2.28	.	.	1\
Horse	1590	6.68	1.75	4.76	1.97	5.37	1.74	.	.	2\
Horse	1590	6.77	1.5	4.87	2.01	5.65	1.91	.	.	3\
Pony	1595	6.10	1.61	5.06	1.99	5.50	2.16	.	.	19\
Horse	1600	6.95	1.59	4.08	2.02	7.02	2.02	.	.	1\
Giraffes	1601	6.54	1.46	3.83	2.18	5.96	1.8	.	.	8\
Butterfly	1602	5.92	1.38	3.19	1.68	5.98	1.81	.	.	8\
Butterfly	1603	6.33	1.55	3.47	2.15	.	.	6.35	1.96	10\
Butterfly	1604	6.40	1.31	3.17	1.98	6.55	1.91	.	.	9\
Butterfly	1605	6.12	1.41	3.60	2.04	6.28	1.72	.	.	19\
Rabbit	1610	7.28	1.47	2.82	2.01	7.33	1.91	.	.	1\
Rabbit	1610	7.32	1.42	4.24	2.23	6.49	2.05	.	.	2\
Bird	1616	5.34	0.92	3.60	1.91	5.98	1.96	.	.	11\
Mole	1617	4.81	1.73	5.69	1.98	.	.	4.73	1.91	16\
Antelope	1620	6.80	1.68	3.60	2.34	6.97	1.69	.	.	1\
Fawn	1630	6.39	1.25	4.43	1.82	6.00	1.57	.	.	20\
Coyote	1640	6.23	2.01	5.13	2.18	5.53	2.3	.	.	1\
Coyote	1640	6.15	1.86	4.88	2.16	5.27	1.91	.	.	2\
Wolf	1645	5.41	1.43	5.05	2	5.10	1.61	.	.	18\
Jaguar	1650	6.80	2.14	6.40	1.99	4.89	2.56	.	.	1\
Gorilla	1659	6.17	1.7	5.09	1.46	5.60	1.56	.	.	20\
Gorilla	1660	6.65	1.96	4.45	2.38	6.12	2.28	.	.	1\
Orangutan	1661	5.91	1.39	3.79	2	.	.	6.09	1.79	14\
Cow	1670	6.51	1.76	2.95	1.67	6.61	2.2	.	.	1\
Cow	1670	5.76	1.36	3.10	1.88	5.90	1.87	.	.	2\
Buffalo	1675	5.45	1.39	4.39	2.13	.	.	5.1	2.17	15\
Puppies	1710	8.02	1.21	5.53	2.07	6.61	1.86	.	.	3\
Lion	1720	6.81	1.53	5.62	1.8	5.21	2.35	.	.	3\
Lion	1721	6.85	1.38	4.58	2.17	.	.	5.67	1.95	10\
Jaguars	1722	6.85	1.55	4.65	2.07	6.47	1.82	.	.	12\
Tiger	1726	5.34	1.94	6.13	2.26	.	.	4.45	2.45	14\
Lion	1731	6.84	1.48	4.64	2.44	.	.	5.65	2.12	14\
Owl	1740	6.81	1.46	4.81	2.21	6.06	1.86	.	.	3\
Bunnies	1750	7.89	1.26	4.21	2.22	5.98	2.02	.	.	3\
Hippo	1810	6.35	1.4	5.00	2.16	4.74	1.76	.	.	5\
Monkeys	1811	7.22	1.59	5.05	1.84	5.91	2.06	6.2	1.87	7\
Elephants	1812	6.30	1.25	3.53	2.28	5.91	2	.	.	9\
Crocodile	1820	5.85	1.83	5.33	2.13	5.12	2.2	.	.	19\
Camels	1850	6.13	1.31	4.38	1.98	6.23	1.98	.	.	12\
Fish	1900	6.40	1.67	3.04	2.07	5.65	2.22	.	.	4\
Shrimp	1903	5.43	1.58	4.34	1.95	5.66	2.08	.	.	17\
Jellyfish	1908	5.48	1.59	4.95	2.15	4.59	1.59	.	.	17\
Grouper	1910	6.46	1.87	3.96	2.26	6.15	2.3	.	.	4\
Porpoise	1920	7.83	1.29	4.21	2.49	6.42	2.38	.	.	4\
Shark	1930	4.12	1.92	5.98	2.24	3.56	2.43	.	.	4\
Shark	1931	4.51	2.35	6.88	1.77	3.94	2.66	3.15	2.41	7\
Shark	1932	4.85	1.89	6.21	2.18	.	.	4.04	2.14	13\
HermitCrab	1935	5.17	1.32	4.13	1.97	.	.	5.66	2.08	14\
Turtles	1942	6.15	1.49	3.94	2.04	6.00	2.04	.	.	12\
Turtle	1945	5.21	1.53	4.27	2.02	6.25	2.02	.	.	11\
Octopus	1947	6.04	1.3	4.55	2.16	.	.	5.89	1.98	13\
Mickey	1999	7.17	1.4	4.52	2.31	6.42	1.9	.	.	8\
Adult	2000	5.93	1.86	2.92	1.75	7.20	1.74	.	.	1\
Man	2002	4.83	1.21	2.93	1.68	5.63	1.39	.	.	18\
AttractiveMan	2005	5.19	1.14	3.18	1.89	.	.	5.74	1.83	13\
Adult	2010	5.75	1.71	2.90	1.95	6.62	1.82	.	.	1\
VeiledWoman	2018	6.14	1.26	5.72	1.92	5.86	1.65	.	.	20\
AttractiveFem	2019	6.68	1.44	5.57	2.25	5.68	1.44	.	.	18\
Adult	2020	5.40	1.82	3.28	1.78	6.32	2.06	.	.	1\
Woman	2025	6.17	1.19	5.09	2.04	.	.	5.99	1.86	14\
Woman	2026	4.77	1.1	3.43	1.8	4.77	1.46	.	.	17\
Woman	2030	7.51	1.68	6.24	1.83	5.93	1.72	.	.	2\
Makeup	2032	5.14	0.85	4.28	1.88	5.74	1.36	.	.	20\
Cheerleaders	2034	6.89	1.6	6.40	1.48	6.19	1.83	.	.	20\
Kid	2035	7.07	1.28	3.34	1.92	6.05	1.55	.	.	18\
Woman	2036	5.78	1.06	2.81	1.71	5.83	1.5	.	.	18\
Woman	2037	6.45	1.22	4.18	2.04	.	.	6.45	1.69	15\
NeuWoman	2038	5.08	1.19	2.98	1.66	.	.	6.21	1.8	16\
Woman	2039	3.81	1.15	3.44	1.91	4.78	1.64	.	.	18\
Baby	2040	7.63	2.01	4.33	2.19	7.35	2.16	.	.	1\
Baby	2045	7.43	1.02	4.66	2.21	5.98	1.85	.	.	17\
Baby	2050	7.80	1.54	4.05	2.3	7.82	1.81	.	.	1\
Baby	2053	2.78	1.8	4.65	2.41	3.73	1.71	.	.	8\
ManInPool	2055.1	3.51	1.74	4.61	2.02	.	.	4.55	2.13	14\
ManInPool	2055.2	5.89	1.55	4.16	2.08	.	.	5.32	2.17	13\
