Original File Name:,T:\BehavioralTasks\StimTool\FearConditioning\data/FC-AAXXX-Admin_RA-run_1-2014_Sep_18_0826.csv,Time:,2014_Sep_18_0826,Parameter File:,T:\BehavioralTasks\StimTool\FearConditioning\T1000_FC_Schedule1.csv,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('ARROW_ONSET', 3), ('RESPONSE', 4), ('IMAGE_ONSET', 5), ('US', 6), ('SOUND', 7), ('RATING', 8), ('TASK_END', 99)],Trial Types are coded as follows: 0->left arrow; 1->right arrow; 2->CS-; 3->CS+; 4->CS+&US, volume=0.1
trial_number,trial_type,event_code,absolute_time,response_time,response,result
NA,NA,1,-0.00499695913459,NA,NA,NA
NA,NA,2,9.91068136292,9.91567832205,NA,NA
1,1,3,14.2272822075,NA,NA,NA
1,1,4,14.829919018,0.602636810436,1,1
2,1,3,17.227294371,NA,NA,NA
2,1,4,17.5101271652,0.282832794212,0,0
2,1,4,18.1562996659,0.929005294907,1,1
2,1,4,18.6861324563,1.45883808532,1,1
2,1,4,18.8747710228,1.64747665185,1,1
2,1,4,19.2258773277,1.99858295671,1,1
3,1,3,20.227227852,NA,NA,NA
3,1,4,20.5637395233,0.336511671223,1,1
4,1,3,23.2273099554,NA,NA,NA
4,1,4,23.5418661981,0.314556242709,1,1
5,2,5,26.2272301327,NA,NA,NA
6,0,3,28.2273114759,NA,NA,NA
6,0,4,28.6049846816,0.377673205796,0,1
7,1,3,31.2272749855,NA,NA,NA
7,1,4,31.5954184991,0.368143513646,1,1
8,0,3,34.2274536363,NA,NA,NA
8,0,4,34.7644655299,0.53701189359,0,1
9,3,5,37.2272582607,NA,NA,NA
10,0,3,39.2272696639,NA,NA,NA
10,0,4,39.7633031591,0.536033495133,0,1
11,1,3,42.2272510386,NA,NA,NA
11,1,4,42.5709691808,0.343718142183,1,1
12,0,3,45.227294371,NA,NA,NA
