Original File Name:,T:\BehavioralTasks\StimTool\FearConditioning\data/FC-AAXXX-Admin_RA-run_1-2014_Sep_26_0901.csv,Time:,2014_Sep_26_0901,Parameter File:,T:\BehavioralTasks\StimTool\FearConditioning\T1000_FC_Schedule1.csv,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('ARROW_ONSET', 3), ('RESPONSE', 4), ('IMAGE_ONSET', 5), ('US', 6), ('SOUND', 7), ('RATING', 8), ('TASK_END', 99)],Trial Types are coded as follows: 0->left arrow; 1->right arrow; 2->CS-; 3->CS+; 4->CS+&US, volume=0.7
trial_number,trial_type,event_code,absolute_time,response_time,response,result
NA,NA,1,-0.0049968638923,NA,NA,NA
NA,NA,2,11.1604160676,11.1654129315,NA,NA
1,0,3,15.4675707829,NA,NA,NA
1,0,4,15.9124727207,0.444901937852,0,1
2,0,3,18.4725238566,NA,NA,NA
2,0,4,18.7684769219,0.29595306539,0,1
3,0,3,21.4775593247,NA,NA,NA
3,0,4,22.0724824028,0.594923078083,0,1
4,0,3,24.4658407852,NA,NA,NA
5,3,5,27.4708089692,NA,NA,NA
6,1,3,29.4742202123,NA,NA,NA
7,1,3,32.4791758519,NA,NA,NA
8,1,3,35.4674761291,NA,NA,NA
9,2,5,38.4725235715,NA,NA,NA
10,0,3,40.4758481436,NA,NA,NA
11,1,3,43.4639864829,NA,NA,NA
12,0,3,46.4691736252,NA,NA,NA
13,0,3,49.4741033205,NA,NA,NA
13,0,4,50.8403673379,1.36626401742,0,1
14,0,3,52.4790786322,NA,NA,NA
14,0,4,53.5603354977,1.08125686552,0,1
15,3,5,55.4674316532,NA,NA,NA
16,0,3,57.4707810292,NA,NA,NA
17,0,3,60.4757654641,NA,NA,NA
18,0,3,63.480769571,NA,NA,NA
19,0,3,66.469086099,NA,NA,NA
19,0,4,66.9442823845,0.475196285523,0,1
20,2,5,69.4741064567,NA,NA,NA
21,1,3,71.4774392968,NA,NA,NA
21,1,4,71.7842632941,0.306823997293,1,1
22,0,3,74.4657347272,NA,NA,NA
22,0,4,74.960293987,0.494559259736,0,1
23,0,3,77.470752234,NA,NA,NA
23,0,4,77.8242388438,0.353486609762,0,1
24,0,3,80.4757432261,NA,NA,NA
24,0,4,80.744228158,0.268484931905,0,1
25,3,5,83.480730227,NA,NA,NA
26,1,3,85.4673421312,NA,NA,NA
27,0,3,88.4723741781,NA,NA,NA
28,1,3,91.4773326687,NA,NA,NA
29,2,5,94.4656854046,NA,NA,NA
30,1,3,96.4689680669,NA,NA,NA
31,0,3,99.4740100923,NA,NA,NA
32,0,3,102.47900365,NA,NA,NA
33,1,3,105.467328161,NA,NA,NA
34,1,3,108.472302332,NA,NA,NA
35,3,5,111.476897888,NA,NA,NA
36,1,3,113.480644126,NA,NA,NA
37,1,3,116.468932429,NA,NA,NA
38,0,3,119.473955923,NA,NA,NA
39,3,5,122.478992246,NA,NA,NA
40,1,3,124.465577636,NA,NA,NA
41,1,3,127.470555514,NA,NA,NA
42,0,3,130.475593263,NA,NA,NA
43,1,3,133.463740155,NA,NA,NA
44,0,3,136.468915893,NA,NA,NA
45,2,5,139.473895196,NA,NA,NA
46,0,3,141.477221479,NA,NA,NA
47,0,3,144.465491535,NA,NA,NA
48,1,3,147.470536127,NA,NA,NA
49,0,3,150.475497183,NA,NA,NA
50,2,5,153.480534647,NA,NA,NA
51,1,3,155.467146836,NA,NA,NA
52,1,3,158.47217033,NA,NA,NA
53,1,3,161.477209505,NA,NA,NA
NA,NA,99,168.161342648,NA,NA,NA
