Original File Name:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\FearConditioning\data/FC-AAXXX-Admin_RA-run_2-2014_Sep_10_0828.csv,Time:,2014_Sep_10_0828,Parameter File:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\FearConditioning\T1000_FC_Schedule2.csv,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('ARROW_ONSET', 3), ('RESPONSE', 4), ('IMAGE_ONSET', 5), ('US', 6), ('SOUND', 7), ('RATING', 8)],Trial Types are coded as follows: 0->left arrow; 1->right arrow; 2->CS-; 3->CS+; 4->CS+&US, volume=0
trial_number,trial_type,event_code,absolute_time,response_time,response,result
NA,NA,1,-0.00499670038039,NA,NA,NA
NA,NA,2,4.2565868898,4.26158359018,NA,NA
1,0,3,8.56199163033,NA,NA,NA
2,1,3,11.56462656,NA,NA,NA
3,0,3,14.5700932967,NA,NA,NA
4,1,3,17.5723583024,NA,NA,NA
5,1,3,20.5717196427,NA,NA,NA
6,3,5,23.5727736879,NA,NA,NA
7,1,3,25.5736865827,NA,NA,NA
8,1,3,28.5717585049,NA,NA,NA
9,0,3,31.5717610712,NA,NA,NA
10,2,5,34.5605507964,NA,NA,NA
11,0,3,36.5612668139,NA,NA,NA
12,0,3,39.5671045745,NA,NA,NA
13,0,3,42.5606692161,NA,NA,NA
14,0,3,45.5620062953,NA,NA,NA
15,0,3,48.5677630319,NA,NA,NA
16,2,5,51.5615388492,NA,NA,NA
17,1,3,53.5612719466,NA,NA,NA
18,1,3,56.5666473938,NA,NA,NA
19,1,3,59.5750104635,NA,NA,NA
20,3,5,62.5651281022,NA,NA,NA
21,1,3,64.5720195414,NA,NA,NA
22,1,3,67.6027734642,NA,NA,NA
23,0,3,70.5710747503,NA,NA,NA
24,0,3,73.5714061788,NA,NA,NA
25,1,3,76.575048959,NA,NA,NA
26,2,5,79.5733811845,NA,NA,NA
27,1,3,81.5718648259,NA,NA,NA
28,1,3,84.5734563425,NA,NA,NA
29,0,3,87.5722549143,NA,NA,NA
30,0,3,90.5720690357,NA,NA,NA
31,0,3,93.5741503626,NA,NA,NA
32,3,5,96.5720924997,NA,NA,NA
33,1,3,98.5713159892,NA,NA,NA
34,0,3,101.575657556,NA,NA,NA
35,1,3,104.571745306,NA,NA,NA
36,2,5,107.573107316,NA,NA,NA
37,0,3,109.571992411,NA,NA,NA
38,1,3,112.571293625,NA,NA,NA
39,0,3,115.573686216,NA,NA,NA
40,0,3,118.575598896,NA,NA,NA
41,1,3,121.571520199,NA,NA,NA
42,2,5,124.572687531,NA,NA,NA
43,0,3,126.571645218,NA,NA,NA
44,1,3,129.57171781,NA,NA,NA
45,1,3,132.571164573,NA,NA,NA
46,0,3,135.572035673,NA,NA,NA
47,1,3,138.571781602,NA,NA,NA
48,4,5,141.572999529,NA,NA,NA
48,4,6,142.057433572,NA,NA,NA
49,0,3,143.572072702,NA,NA,NA
50,1,3,146.571519099,NA,NA,NA
51,0,3,149.571420844,NA,NA,NA
52,1,3,152.572161792,NA,NA,NA
53,3,5,155.572488087,NA,NA,NA
54,0,3,157.571881691,NA,NA,NA
55,0,3,160.571088682,NA,NA,NA
56,1,3,163.575646557,NA,NA,NA
57,1,3,166.572245015,NA,NA,NA
58,2,5,169.573555698,NA,NA,NA
59,0,3,171.574707632,NA,NA,NA
60,1,3,174.571455306,NA,NA,NA
61,1,3,177.571645218,NA,NA,NA
62,0,3,180.575008264,NA,NA,NA
63,1,3,183.571846128,NA,NA,NA
64,4,5,186.572965432,NA,NA,NA
64,4,6,187.05722423,NA,NA,NA
65,1,3,188.573590894,NA,NA,NA
66,1,3,191.572131729,NA,NA,NA
67,1,3,194.567575687,NA,NA,NA
68,0,3,197.579663294,NA,NA,NA
69,0,3,200.561023009,NA,NA,NA
70,3,5,203.566872135,NA,NA,NA
71,0,3,205.570028404,NA,NA,NA
72,0,3,208.561540682,NA,NA,NA
73,0,3,211.56676398,NA,NA,NA
74,2,5,214.577994786,NA,NA,NA
75,0,3,216.560426877,NA,NA,NA
76,1,3,219.563731263,NA,NA,NA
77,1,3,222.570453689,NA,NA,NA
78,3,5,225.561253615,NA,NA,NA
79,1,3,227.576086506,NA,NA,NA
80,1,3,230.568462185,NA,NA,NA
81,0,3,233.560296726,NA,NA,NA
82,0,3,236.563341541,NA,NA,NA
83,1,3,239.569052817,NA,NA,NA
84,2,5,242.563647673,NA,NA,NA
85,1,3,244.564349025,NA,NA,NA
86,1,3,247.571411678,NA,NA,NA
87,0,3,250.570955964,NA,NA,NA
88,0,3,253.571520199,NA,NA,NA
89,0,3,256.571742007,NA,NA,NA
90,4,5,259.573065521,NA,NA,NA
90,4,6,260.057105077,NA,NA,NA
91,1,3,261.572416596,NA,NA,NA
92,0,3,264.572112297,NA,NA,NA
93,1,3,267.576233156,NA,NA,NA
94,1,3,270.562146712,NA,NA,NA
95,2,5,273.568760984,NA,NA,NA
96,1,3,275.55982928,NA,NA,NA
97,1,3,278.56095335,NA,NA,NA
98,0,3,281.566811275,NA,NA,NA
99,1,3,284.559939267,NA,NA,NA
100,1,3,287.561902907,NA,NA,NA
101,3,5,290.567534258,NA,NA,NA
102,0,3,292.578930412,NA,NA,NA
103,1,3,295.560341454,NA,NA,NA
104,1,3,298.566010567,NA,NA,NA
105,1,3,301.571755938,NA,NA,NA
106,3,5,304.561176624,NA,NA,NA
107,1,3,306.564806206,NA,NA,NA
108,0,3,309.578306417,NA,NA,NA
109,1,3,312.560290126,NA,NA,NA
110,2,5,315.565554486,NA,NA,NA
111,1,3,317.573356987,NA,NA,NA
112,1,3,320.560570594,NA,NA,NA
113,1,3,323.565069442,NA,NA,NA
114,0,3,326.571517266,NA,NA,NA
115,3,5,329.561385234,NA,NA,NA
116,1,3,331.563217989,NA,NA,NA
117,0,3,334.573746342,NA,NA,NA
118,1,3,337.561616574,NA,NA,NA
119,0,3,340.563688368,NA,NA,NA
120,2,5,343.569573423,NA,NA,NA
121,1,3,345.573509136,NA,NA,NA
122,1,3,348.562608659,NA,NA,NA
123,1,3,351.56827484,NA,NA,NA
124,3,5,354.56129981,NA,NA,NA
125,1,3,356.561302376,NA,NA,NA
126,0,3,359.567077078,NA,NA,NA
127,0,3,362.578377542,NA,NA,NA
128,3,5,365.561811251,NA,NA,NA
129,1,3,367.570535079,NA,NA,NA
130,1,3,370.574393435,NA,NA,NA
131,1,3,373.572887341,NA,NA,NA
132,1,3,376.571553562,NA,NA,NA
133,2,5,379.5787394,NA,NA,NA
134,1,3,381.571649617,NA,NA,NA
135,1,3,384.571619554,NA,NA,NA
136,1,3,387.574209756,NA,NA,NA
137,0,3,390.571973713,NA,NA,NA
138,0,3,393.571370616,NA,NA,NA
139,4,5,396.571997544,NA,NA,NA
139,4,6,397.057515696,NA,NA,NA
140,0,3,398.563700467,NA,NA,NA
141,1,3,401.564819404,NA,NA,NA
142,0,3,404.570616836,NA,NA,NA
143,0,3,407.593593922,NA,NA,NA
144,3,5,410.573369819,NA,NA,NA
145,0,3,412.572290477,NA,NA,NA
146,0,3,415.57373681,NA,NA,NA
147,0,3,418.58088342,NA,NA,NA
148,2,5,421.569784966,NA,NA,NA
149,1,3,423.574428631,NA,NA,NA
150,1,3,426.565814057,NA,NA,NA
151,0,3,429.568603702,NA,NA,NA
152,0,3,432.571711944,NA,NA,NA
153,3,5,435.572641336,NA,NA,NA
154,1,3,437.572099466,NA,NA,NA
155,1,3,440.575920425,NA,NA,NA
156,0,3,443.572203954,NA,NA,NA
157,1,3,446.571608555,NA,NA,NA
158,4,5,449.572163625,NA,NA,NA
158,4,6,450.056631765,NA,NA,NA
159,0,3,451.570593739,NA,NA,NA
160,0,3,454.571578492,NA,NA,NA
161,1,3,457.575727581,NA,NA,NA
162,0,3,460.572217519,NA,NA,NA
163,2,5,463.567419505,NA,NA,NA
164,1,3,465.574785356,NA,NA,NA
165,1,3,468.561697598,NA,NA,NA
166,1,3,471.569033752,NA,NA,NA
167,3,5,474.572045205,NA,NA,NA
168,1,3,476.561118331,NA,NA,NA
169,1,3,479.565851452,NA,NA,NA
170,1,3,482.573649554,NA,NA,NA
171,0,3,485.572381766,NA,NA,NA
172,3,5,488.567163234,NA,NA,NA
173,1,3,490.569822361,NA,NA,NA
174,1,3,493.56185048,NA,NA,NA
175,1,3,496.564563134,NA,NA,NA
176,2,5,499.570314738,NA,NA,NA
177,1,3,501.560990012,NA,NA,NA
178,0,3,504.563308545,NA,NA,NA
179,1,3,507.568952728,NA,NA,NA
180,0,3,510.560891757,NA,NA,NA
181,1,3,513.563854082,NA,NA,NA
182,1,3,516.569584055,NA,NA,NA
