Original File Name:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\FearConditioning\data/FC-AAXXX-Admin_RA-run_P-2014_Sep_10_0813.csv,Time:,2014_Sep_10_0813,Parameter File:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\FearConditioning\T1000_FC_ScheduleP.csv,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('ARROW_ONSET', 3), ('RESPONSE', 4), ('IMAGE_ONSET', 5), ('US', 6), ('SOUND', 7), ('RATING', 8)],Trial Types are coded as follows: 0->left arrow; 1->right arrow; 2->CS-; 3->CS+; 4->CS+&US, volume=NA
trial_number,trial_type,event_code,absolute_time,response_time,response,result
NA,NA,1,-0.0049937673848,NA,NA,NA
NA,NA,2,7.2543182179,7.25931198528,NA,NA
1,0,3,11.5660893915,NA,NA,NA
2,0,3,14.5725273163,NA,NA,NA
3,0,3,17.561230518,NA,NA,NA
4,0,3,20.5726735994,NA,NA,NA
5,3,5,23.5602527307,NA,NA,NA
6,1,3,25.5629521863,NA,NA,NA
7,1,3,28.5696522476,NA,NA,NA
8,1,3,31.5687140557,NA,NA,NA
9,2,5,34.5708998705,NA,NA,NA
10,0,3,36.5687239545,NA,NA,NA
11,1,3,39.573171842,NA,NA,NA
12,0,3,42.5699209833,NA,NA,NA
13,0,3,45.5704111601,NA,NA,NA
14,0,3,48.5735282009,NA,NA,NA
15,3,5,51.5701013625,NA,NA,NA
16,0,3,53.5692397951,NA,NA,NA
17,0,3,56.5684148902,NA,NA,NA
18,0,3,59.558386979,NA,NA,NA
19,0,3,62.5644340822,NA,NA,NA
20,2,5,65.5707774179,NA,NA,NA
21,1,3,67.5619798983,NA,NA,NA
22,0,3,70.5701009959,NA,NA,NA
23,0,3,73.5970035291,NA,NA,NA
24,0,3,76.5701556229,NA,NA,NA
25,3,5,79.5703587328,NA,NA,NA
26,1,3,81.5703953953,NA,NA,NA
27,0,3,84.5696023867,NA,NA,NA
28,1,3,87.5695191629,NA,NA,NA
29,2,5,90.5711631068,NA,NA,NA
30,1,3,92.5697779997,NA,NA,NA
31,0,3,95.569911451,NA,NA,NA
32,0,3,98.570145724,NA,NA,NA
33,1,3,101.570249845,NA,NA,NA
34,1,3,104.569153638,NA,NA,NA
35,3,5,107.570701527,NA,NA,NA
36,1,3,109.56983226,NA,NA,NA
37,1,3,112.569698076,NA,NA,NA
38,0,3,115.569872222,NA,NA,NA
39,3,5,118.570983461,NA,NA,NA
40,1,3,120.569904485,NA,NA,NA
41,1,3,123.570158923,NA,NA,NA
42,0,3,126.574266949,NA,NA,NA
43,1,3,129.570033904,NA,NA,NA
44,0,3,132.569523196,NA,NA,NA
45,2,5,135.570676596,NA,NA,NA
46,0,3,137.569769934,NA,NA,NA
47,0,3,140.569903752,NA,NA,NA
48,1,3,143.573435812,NA,NA,NA
49,0,3,146.569942247,NA,NA,NA
50,2,5,149.570856975,NA,NA,NA
51,1,3,151.572050338,NA,NA,NA
52,1,3,154.569409909,NA,NA,NA
53,1,3,157.569496799,NA,NA,NA
