Original File Name:,T:\BehavioralTasks\StimTool\FearConditioning\data/FC-AAXXX-Admin_RA-run_P-2014_Sep_26_1342.csv,Time:,2014_Sep_26_1342,Parameter File:,T:\BehavioralTasks\StimTool\FearConditioning\T1000_FC_ScheduleP.csv,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('ARROW_ONSET', 3), ('RESPONSE', 4), ('IMAGE_ONSET', 5), ('US', 6), ('SOUND', 7), ('RATING', 8), ('VALENCE_RATING_ONSET', 9), ('VALENCE_RATING_RESPONSE', 10), ('AROUSAL_RATING_ONSET', 11), ('AROUSAL_RATING_RESPONSE', 12), ('ANXIETY_RATING_ONSET', 13), ('ANXIETY_RATING_RESPONSE', 14), ('TASK_END', 99)],Trial Types are coded as follows: 0->left arrow; 1->right arrow; 2->CS-; 3->CS+; 4->CS+&US, volume=NA
trial_number,trial_type,event_code,absolute_time,response_time,response,result
NA,NA,1,-0.00499401288107,NA,NA,NA
NA,NA,2,5.59158351098,5.59657752386,NA,NA
1,0,3,9.89872625202,NA,NA,NA
1,0,4,10.334815408,0.436089155963,0,1
2,0,3,12.9036767598,NA,NA,NA
2,0,4,13.2308305115,0.327153751743,0,1
3,0,3,15.9087624059,NA,NA,NA
3,0,4,16.5107953527,0.602032946888,0,1
4,0,3,18.8970689552,NA,NA,NA
4,0,4,19.4307792502,0.533710294985,0,1
5,3,5,21.9020667899,NA,NA,NA
6,1,3,23.9053999152,NA,NA,NA
6,1,4,24.2307686445,0.325368729304,1,1
7,1,3,26.9103823543,NA,NA,NA
7,1,4,27.382748149,0.472365794703,1,1
8,1,3,29.8987082907,NA,NA,NA
8,1,4,30.2627713222,0.364063031506,1,1
9,2,5,32.903699568,NA,NA,NA
10,0,3,34.9070358293,NA,NA,NA
10,0,4,35.2867198738,0.379684044514,0,1
11,1,3,37.9120370852,NA,NA,NA
11,1,4,38.3516355592,0.439598474069,1,1
12,0,3,40.90034449,NA,NA,NA
12,0,4,41.1827053267,0.282360836747,0,1
13,0,3,43.9053326311,NA,NA,NA
13,0,4,44.2626846512,0.357352020103,0,1
14,0,3,46.9103293254,NA,NA,NA
14,0,4,47.4956376301,0.585308304755,0,1
15,3,5,49.8986438577,NA,NA,NA
16,0,3,51.9020331479,NA,NA,NA
16,0,4,52.5346600845,0.632626936655,1,0
17,0,3,54.9069770983,NA,NA,NA
17,0,4,55.4466434551,0.539666356752,1,0
18,0,3,57.9119746479,NA,NA,NA
18,0,4,58.37462959,0.462654942065,1,0
19,0,3,60.9002854738,NA,NA,NA
19,0,4,61.3106396302,0.410354156396,1,0
20,2,5,63.9053645625,NA,NA,NA
NA,NA,99,69.5918423835,NA,NA,NA
NA,NA,10,73.153978754,3.40605995292,1,0
NA,NA,12,75.6079594736,2.32074067171,5,0
NA,NA,14,79.6843191455,3.99319490499,54,0
NA,NA,10,82.1689280671,2.28351236298,5,1
NA,NA,12,83.0871748392,0.835105098551,2,1
NA,NA,14,84.4761386624,1.30582585593,3,1
NA,NA,99,84.4763824245,NA,NA,NA
