Original File Name:,T:\BehavioralTasks\StimTool\FearConditioning\data/FC-AAXXX-Admin_RA-run_V-2014_Sep_18_1053.csv,Time:,2014_Sep_18_1053,Parameter File:,T:\BehavioralTasks\StimTool\FearConditioning\T1000_FC_ScheduleV.csv,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('ARROW_ONSET', 3), ('RESPONSE', 4), ('IMAGE_ONSET', 5), ('US', 6), ('SOUND', 7), ('RATING', 8), ('TASK_END', 99)],Trial Types are coded as follows: 0->left arrow; 1->right arrow; 2->CS-; 3->CS+; 4->CS+&US, volume=NA
trial_number,trial_type,event_code,absolute_time,response_time,response,result
NA,NA,1,3.45665132297,NA,NA,NA
NA,NA,2,7.71690873223,4.26025740926,NA,NA
0,-1,7,14.2013794126,6.38913992922,NA,0.1
0,-1,7,14.7200906178,0.43694385422,NA,0.1
0,-1,7,15.5017348137,0.697030594907,NA,0.1
0,-1,7,16.268387163,0.685339227537,NA,0.1
0,-1,8,19.6105856327,3.24733829248,2,0.1
1,-1,7,21.4121444563,1.74414234291,NA,0.2
1,-1,7,22.1451918216,0.638359377073,NA,0.2
1,-1,7,22.7619412885,0.550121444569,NA,0.2
1,-1,8,25.3676501332,2.5413303026,3,0.2
2,-1,7,25.9840107495,0.536764443154,NA,0.3
2,-1,8,27.4838617471,1.4008457407,1,0.3
3,-1,7,28.1663524439,0.620805601269,NA,0.4
3,-1,7,28.6670974559,0.437854973527,NA,0.4
3,-1,8,29.7674114253,1.04222545736,2,0.4
4,-1,7,31.2209002482,1.36983575526,NA,0.5
4,-1,7,31.9690918836,0.656498899596,NA,0.5
4,-1,8,33.5871382796,1.55404302065,2,0.5
5,-1,7,35.2361395453,1.57299673487,NA,0.6
5,-1,7,35.7869334013,0.477236841616,NA,0.6
5,-1,8,37.1869276996,1.3056552495,2,0.6
6,-1,7,37.9204817491,0.656982017084,NA,0.7
6,-1,8,41.5536921808,3.57329778055,8,0.7
NA,NA,99,41.8195964772,NA,NA,NA
