Target,Left_Word,Right_Word,Correct
Suicide,"Death or Not Me","Life or Me",1
Die,"Death or Not Me","Life or Me",1
Funeral,"Death or Not Me","Life or Me",1
Lifeless,"Death or Not Me","Life or Me",1
Deceased,"Death or Not Me","Life or Me",1
Dying,"Death or Not Me","Life or Me",1
Dead,"Death or Not Me","Life or Me",1
Alive,"Death or Not Me","Life or Me",2
Live,"Death or Not Me","Life or Me",2
Thrive,"Death or Not Me","Life or Me",2
Survive,"Death or Not Me","Life or Me",2
Breathing,"Death or Not Me","Life or Me",2
Being,"Death or Not Me","Life or Me",2
Living,"Death or Not Me","Life or Me",2
Myself,"Death or Not Me","Life or Me",2
My,"Death or Not Me","Life or Me",2
Mine,"Death or Not Me","Life or Me",2
I,"Death or Not Me","Life or Me",2
Self,"Death or Not Me","Life or Me",2
We,"Death or Not Me","Life or Me",2
Us,"Death or Not Me","Life or Me",2
Them,"Death or Not Me","Life or Me",1
They,"Death or Not Me","Life or Me",1
Theirs,"Death or Not Me","Life or Me",1
Their,"Death or Not Me","Life or Me",1
Other,"Death or Not Me","Life or Me",1
Themselves,"Death or Not Me","Life or Me",1
Others,"Death or Not Me","Life or Me",1
