Target,Left_Word,Right_Word,Correct
Suicide,"Life or Me","Death or Me",2
Die,"Life or Me","Death or Me",2
Funeral,"Life or Me","Death or Me",2
Lifeless,"Life or Me","Death or Me",2
Deceased,"Life or Me","Death or Me",2
Dying,"Life or Me","Death or Me",2
Dead,"Life or Me","Death or Me",2
Alive,"Life or Me","Death or Me",1
Live,"Life or Me","Death or Me",1
Thrive,"Life or Me","Death or Me",1
Survive,"Life or Me","Death or Me",1
Breathing,"Life or Me","Death or Me",1
Being,"Life or Me","Death or Me",1
Living,"Life or Me","Death or Me",1
Myself,"Life or Me","Death or Me",2
My,"Life or Me","Death or Me",2
Mine,"Life or Me","Death or Me",2
I,"Life or Me","Death or Me",2
Self,"Life or Me","Death or Me",2
We,"Life or Me","Death or Me",2
Us,"Life or Me","Death or Me",2
Them,"Life or Me","Death or Me",1
They,"Life or Me","Death or Me",1
Theirs,"Life or Me","Death or Me",1
Their,"Life or Me","Death or Me",1
Other,"Life or Me","Death or Me",1
Themselves,"Life or Me","Death or Me",1
Others,"Life or Me","Death or Me",1
