Target,Left_Word,Right_Word,Correct
Daffodil,Flowers or Good,Insects or Bad,1
Rose,Flowers or Good,Insects or Bad,1
Daisy,Flowers or Good,Insects or Bad,1
Sunflower,Flowers or Good,Insects or Bad,1
Tulip,Flowers or Good,Insects or Bad,1
Bugs,Flowers or Good,Insects or Bad,1
Fly,Flowers or Good,Insects or Bad,2
Caterpillar,Flowers or Good,Insects or Bad,2
Ant,Flowers or Good,Insects or Bad,2
Dragonfly,Flowers or Good,Insects or Bad,2
Peace,Flowers or Good,Insects or Bad,1
Pleasure,Flowers or Good,Insects or Bad,1
Joy,Flowers or Good,Insects or Bad,1
Love,Flowers or Good,Insects or Bad,1
Wonderful,Flowers or Good,Insects or Bad,1
Pain,Flowers or Good,Insects or Bad,2
Terrible,Flowers or Good,Insects or Bad,2
Rotten,Flowers or Good,Insects or Bad,2
Nasty,Flowers or Good,Insects or Bad,2
Sad,Flowers or Good,Insects or Bad,2
